config,policy,method,pruned_by,gt_to_pred,pred_to_gt,f@1x,f@2x
dist_boundary<=0.50_C3_hard,hard,C3,dist_boundary<=0.50,0.025436396218853134,0.036437134043872284,0.1342423387230301,0.4171307693303713
orig_C3_hard,hard,C3,orig,0.028348473345479172,0.0381163482901772,0.13782935913673003,0.43007243428073055
orig_C3_soft,soft,C3,orig,0.03052332846832681,0.03403311693675723,0.1330348979390987,0.4512782827407254
orig_C3_adaptive,adaptive,C3,orig,0.030994796285026768,0.03500552155092246,0.1415628442000848,0.4500596661240387
orig_C1_hard,hard,C1,orig,0.03378186996654346,0.03311838129705134,0.11773371416239435,0.4254798014863308
orig_C2_hard,hard,C2,orig,0.03378186996654346,0.03311838129705134,0.11773371416239435,0.4254798014863308
mls_residual<=0.0500_C3_soft,soft,C3,mls_residual<=0.0500,0.03379299530799894,0.03316280028220622,0.1242801767893842,0.4321060912831689
mls_residual<=0.0500_C3_adaptive,adaptive,C3,mls_residual<=0.0500,0.034724241466651054,0.034395383899451744,0.13355850355509835,0.42944090495181314
mls_residual<=0.0500_C1_hard,hard,C1,mls_residual<=0.0500,0.038296562493447754,0.03277131784943024,0.11000450765883034,0.3959213270172172
dist_boundary<=0.50_C1_soft,soft,C1,dist_boundary<=0.50,0.04059380765585113,0.026878423588310447,0.11099738191480643,0.378322634533052
dist_boundary<=0.50_C1_adaptive,adaptive,C1,dist_boundary<=0.50,0.041284546380880006,0.027413177098162118,0.11108270871321535,0.3784186406869686
orig_C1_soft,soft,C1,orig,0.04330487541216642,0.026789695175554646,0.11143094267670106,0.38315334789822303
orig_C2_soft,soft,C2,orig,0.04330487541216642,0.026789695175554646,0.11143094267670106,0.38315334789822303
orig_C0_hard,hard,C0,orig,0.043310704698729746,0.026786301103984406,0.11150261718736455,0.38323399306751305
orig_C0_soft,soft,C0,orig,0.043310704698729746,0.026786301103984406,0.11150261718736455,0.38323399306751305
orig_C0_adaptive,adaptive,C0,orig,0.043310704698729746,0.026786301103984406,0.11150261718736455,0.38323399306751305
orig_C1_adaptive,adaptive,C1,orig,0.04388509594119068,0.02723888812383005,0.11150261718736455,0.38323399306751305
orig_C2_adaptive,adaptive,C2,orig,0.04388509594119068,0.02723888812383005,0.11150261718736455,0.38323399306751305
mls_residual<=0.0500_C3_hard,hard,C3,mls_residual<=0.0500,0.05542516902958042,0.04728798102217044,0.10698569820507077,0.34068000132593634
mls_residual<=0.0500_C1_soft,soft,C1,mls_residual<=0.0500,0.06623204057433202,0.029066055381431408,0.048184564895802154,0.3357810956719656
mls_residual<=0.0500_C1_adaptive,adaptive,C1,mls_residual<=0.0500,0.06623204057433202,0.029066055381431408,0.048184564895802154,0.3357810956719656
