roi,policy,method,seed,N_budget,N_spawn,N_retained,retain_fraction,N_GT_evaluation_only,pred_to_gt,gt_to_pred,symmetric_chamfer,equal_cardinality_chamfer,normal_error,appearance_rmse,seam_error,fscore_0.5x,precision_0.5x,recall_0.5x,fscore_1.0x,precision_1.0x,recall_1.0x,fscore_2.0x,precision_2.0x,recall_2.0x,pruned_by
roi_B_junction,hard,C1,0,53,53,36,0.6792452830188679,53,0.04629169631838252,0.047538251892342495,0.04691497410536251,0.04723581820564577,29.50851058959961,1.6652903726420107,1.6677574082093674,0.0,0.0,0.0,0.031999999999511544,0.027777777777777776,0.03773584905660377,0.2826086956516855,0.3333333333333333,0.24528301886792453,mls_residual<=0.0500
roi_C_layered,hard,C1,0,45,45,45,1.0,69,0.052711970329797075,0.02292403699569601,0.03781800366274654,0.03761799301860624,51.48074722290039,0.40165690785518027,0.5773722891386361,0.0,0.0,0.0,0.0,0.0,0.0,0.01754385964864497,0.022222222222222223,0.014492753623188406,mls_residual<=0.0500
roi_D_curved_v2,hard,C1,0,47,47,16,0.3404255319148936,160,0.04024304706357535,0.05690181741321909,0.04857243223839722,0.06597319322176046,60.725528717041016,1.0139360601196148,1.118266794448365,0.011363636363471073,0.0625,0.00625,0.03260869565194707,0.125,0.01875,0.23076923076887573,0.5,0.15,mls_residual<=0.0500
ramen_sample_001,hard,C1,0,57,57,57,1.0,56,0.014955763237735323,0.021529867018514542,0.018242815128124933,0.01828128598832856,48.02137756347656,0.5849389623913096,0.3571127378322754,0.0,0.0,0.0,0.04255319148888003,0.05263157894736842,0.03571428571428571,0.5284595300256691,0.8070175438596491,0.39285714285714285,mls_residual<=0.0500
ramen_sample_002,hard,C1,0,67,67,67,1.0,206,0.00806129645707002,0.006686381671682735,0.007373839064376378,0.007996827822922516,54.89713668823242,0.7073050570871828,0.5086244446898319,0.05662285136462006,0.1044776119402985,0.038834951456310676,0.37364763831426184,0.5373134328358209,0.28640776699029125,0.743095261168221,0.8059701492537313,0.6893203883495146,mls_residual<=0.0500
ramen_sample_003,hard,C1,0,90,90,51,0.5666666666666667,56,0.03090289229461224,0.06122132432489142,0.046062108309751826,0.046635881432833766,26.215782165527344,0.571142634612983,0.5209403044173734,0.018691588784547818,0.0196078431372549,0.017857142857142856,0.04528301886743649,0.0392156862745098,0.05357142857142857,0.2558398220240653,0.45098039215686275,0.17857142857142858,mls_residual<=0.0500
ramen_sample_004,hard,C1,0,26,26,25,0.9615384615384616,56,0.021958505978081654,0.020612840434839557,0.021285673206460604,0.024898409928652804,58.142486572265625,0.9702787733215952,0.8132127468253328,0.024691358024264594,0.04,0.017857142857142856,0.40955631399268483,0.48,0.35714285714285715,0.9202168861342803,0.88,0.9642857142857143,mls_residual<=0.0500
ramen_sample_005,hard,C1,0,88,88,48,0.5454545454545454,56,0.03425202669065696,0.036806674060484976,0.035529350375570964,0.03786704203857937,55.21894836425781,0.7529428670824174,0.8698425809995819,0.01923076923027219,0.020833333333333332,0.017857142857142856,0.03846153846104142,0.041666666666666664,0.03571428571428571,0.28045685279139987,0.3541666666666667,0.23214285714285715,mls_residual<=0.0500
ramen_sample_006,hard,C1,0,83,83,82,0.9879518072289156,56,0.018361902387403786,0.02913510503691586,0.02374850371215982,0.023755232763368314,23.64516830444336,0.33547273731732224,0.3143518102704679,0.0872817955107222,0.08536585365853659,0.08928571428571429,0.20618556700982124,0.24390243902439024,0.17857142857142858,0.663934426229062,0.9878048780487805,0.5,mls_residual<=0.0500
ramen_sample_007,hard,C1,0,92,92,62,0.6739130434782609,56,0.06802878084234115,0.05637052303622469,0.062199651939282924,0.0624459143968919,32.044315338134766,0.361016435980464,0.2602098257637871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mls_residual<=0.0500
ramen_sample_008,hard,C1,0,53,53,34,0.6415094339622641,56,0.08558223353760308,0.0996935113525909,0.092637872445097,0.09842109929098572,49.92979049682617,1.4150279539387498,0.775108314216092,0.0,0.0,0.0,0.0,0.0,0.0,0.1805157593118285,0.20588235294117646,0.16071428571428573,mls_residual<=0.0500
ramen_sample_009,hard,C1,0,77,77,70,0.9090909090909091,56,0.03263511448914671,0.06894068421191492,0.05078789935053081,0.050777949188262485,61.605342864990234,0.4152496735322178,0.2226180964129401,0.02521008403319822,0.04285714285714286,0.017857142857142856,0.059113300492325466,0.17142857142857143,0.03571428571428571,0.4512771996211521,0.7571428571428571,0.32142857142857145,mls_residual<=0.0500
ramen_sample_010,hard,C1,0,112,112,112,1.0,128,0.006864835914662025,0.01736425244391652,0.012114544179289272,0.012721034405667003,57.67716598510742,0.6279958833445354,0.4577224022770229,0.06350267379648718,0.16964285714285715,0.0390625,0.24621212121178696,0.5803571428571429,0.15625,0.5684818481843982,0.9464285714285714,0.40625,mls_residual<=0.0500
ramen_sample_011,hard,C1,0,123,123,123,1.0,101,0.010215945282325296,0.015502616551652174,0.012859280916988736,0.012933942648552573,54.13164138793945,1.3425605566473797,0.7186722218151049,0.017857142856647683,0.016260162601626018,0.019801980198019802,0.13646702046962464,0.21951219512195122,0.09900990099009901,0.548367952521806,0.8048780487804879,0.4158415841584158,mls_residual<=0.0500
