bootstrap_ci_hi,bootstrap_ci_lo,comparison,mean_C0,mean_C1,mean_C3,mean_diff,median_diff,metric,n,wilcoxon_p,wilcoxon_stat
0.017176305317933422,-0.013333509837095608,C0_vs_C1,0.035048502901357075,0.033450125631797396,,0.001598377269559677,0.000961961026251526,symmetric_chamfer,25,0.20870191067235688,106.0
0.012568167483814917,-0.024604151408021163,C0_vs_C1,0.026786301103984406,0.03311838129705134,,-0.006332080193066933,-0.0016096771366384578,pred_to_gt_mean,25,0.0007477942743045657,32.0
0.02342636490967101,-0.0034757436283498477,C0_vs_C1,0.043310704698729746,0.03378186996654346,,0.009528834732186287,0.006429110066574949,gt_to_pred_mean,25,0.0004409382679493639,27.0
0.016566650082167952,-0.01447640496110647,C0_vs_C1,0.03535814038046634,0.03455392882926175,,0.0008042115512045924,0.0010406209425072727,equal_cardinality_chamfer,25,0.18172985315322876,112.0
8.627877120971682,-6.537826995849606,C0_vs_C1,49.5343734741211,48.52832298278808,,1.0060504913330077,0.0,normal_angular_error,25,0.8638867905449266,144.0
0.16986917479182917,-0.31376255818840015,C0_vs_C1,0.7239759072917051,0.7986386826557629,,-0.07466277536405781,-0.002531861060750762,appearance_rmse,25,0.3809836506843567,129.0
0.05596596178075064,-0.35070071114777474,C0_vs_C1,0.49702766668773146,0.6461355582659142,,-0.1491078915781828,-0.07560243908915165,boundary_seam_error,25,0.0007149577140808105,43.0
0.18082908418037957,-0.1614803413401225,C0_vs_C1,0.39352968782784586,0.38416400408274476,,0.009365683745101112,0.0,fscore_2p0,25,0.7368753708069717,96.0
0.016956566175021635,-0.011882948109106298,C0_vs_C3,0.035048502901357075,,0.033232410817828184,0.0018160920835288933,0.00232276289703887,symmetric_chamfer,25,0.5601714849472046,140.0
0.0066209801622938574,-0.02802754358172826,C0_vs_C3,0.026786301103984406,,0.0381163482901772,-0.011330047186192793,-0.009340270223145708,pred_to_gt_mean,25,1.0073184967041016e-05,16.0
0.028489164986484166,0.002400362945189506,C0_vs_C3,0.043310704698729746,,0.028348473345479172,0.01496223135325058,0.010199735654595914,gt_to_pred_mean,25,6.365776062011719e-05,26.0
0.016108308085912824,-0.013866982969601534,C0_vs_C3,0.03535814038046634,,0.03464813230846536,0.000710008072000974,0.002023908093431631,equal_cardinality_chamfer,25,0.6338268518447876,144.0
6.651596832275388,-7.866528701782222,C0_vs_C3,49.5343734741211,,50.08736701965332,-0.5529935455322266,-0.639404296875,normal_angular_error,25,0.7914759516716003,152.0
-0.011383821548599848,-0.4653893990213308,C0_vs_C3,0.7239759072917051,,0.9657822652469212,-0.24180635795521627,-0.18126643749550345,appearance_rmse,25,0.0006313323974609375,42.0
-0.21392732362959344,-0.5902197546463732,C0_vs_C3,0.49702766668773146,,0.9035527126680103,-0.4065250459802789,-0.3712567272776985,boundary_seam_error,25,1.1920928955078125e-07,1.0
0.14401569463986524,-0.19451742050263143,C0_vs_C3,0.39352968782784586,,0.41836154373095424,-0.024831855903108355,0.0,fscore_2p0,25,0.5266812848042953,107.0
