benefit_metric,descriptor,n,pearson_p,pearson_q,pearson_r,spearman_p,spearman_q,spearman_r
delta_C1_chamfer,density_ratio,25,0.32713698382122414,0.626834997815496,0.20436334930765537,0.012620457324279867,0.14738155970367386,0.49134286053304005
delta_C1_equal_cardinality_chamfer,density_ratio,25,0.4148276916966802,0.685407218308456,0.17061960209773494,0.012461213157874903,0.14738155970367386,0.4921123873310557
delta_C1_fscore_2x,density_ratio,25,0.6920309955551881,0.8689144978905348,0.08334914725131065,0.7804267064181241,0.8953025573722733,0.05871028134951585
delta_C1_gt_to_pred,density_ratio,25,0.012449978361390415,0.14738155970367386,0.49216698396500924,5.470298719004496e-05,0.006236140539665125,0.7171989757506552
delta_C2_chamfer,density_ratio,25,0.32713698382122414,0.626834997815496,0.20436334930765537,0.012620457324279867,0.14738155970367386,0.49134286053304005
delta_C2_equal_cardinality_chamfer,density_ratio,25,0.46119082070865014,0.7302820900339912,0.15439470719338302,0.035576309440881346,0.26594749352527697,0.4220854487116248
delta_C2_fscore_2x,density_ratio,25,0.6920309955551881,0.8689144978905348,0.08334914725131065,0.7804267064181241,0.8953025573722733,0.05871028134951585
delta_C2_gt_to_pred,density_ratio,25,0.012449978361390415,0.14738155970367386,0.49216698396500924,5.470298719004496e-05,0.006236140539665125,0.7171989757506552
delta_C3_chamfer,density_ratio,25,0.20922134471898093,0.5016286500536713,0.26010853482950286,0.06733437553061004,0.32664335363785296,0.3716814434415949
delta_C3_equal_cardinality_chamfer,density_ratio,25,0.21274216098790202,0.5016286500536713,0.2581785223856805,0.05058162856026031,0.29727525663910204,0.3951520107810745
delta_C3_fscore_2x,density_ratio,25,0.4010781209905922,0.685407218308456,0.17561955480569666,0.21097377287130253,0.5016286500536713,0.25914518671281617
delta_C3_gt_to_pred,density_ratio,25,0.013679208505402196,0.14738155970367386,0.4864208469062607,0.0017110485647314864,0.07802381455175578,0.5948442148661549
delta_C1_chamfer,pca_eigenvalue_0,25,0.6193003958204198,0.8429880014749594,-0.10444301662388933,0.17275952616715787,0.48392483224576244,0.2815384615384615
delta_C1_equal_cardinality_chamfer,pca_eigenvalue_0,25,0.6517901714132774,0.8629362748292329,-0.09491015957581303,0.15059346877779897,0.47687931779636344,0.29615384615384616
delta_C1_fscore_2x,pca_eigenvalue_0,25,0.7820242262875317,0.8953025573722733,0.05827276985399508,0.6018267672432773,0.8345837370410979,0.1096533269758623
delta_C1_gt_to_pred,pca_eigenvalue_0,25,0.04210371198189987,0.27427560948209057,0.4094422935479805,0.010231357533068983,0.14738155970367386,0.5038461538461538
delta_C2_chamfer,pca_eigenvalue_0,25,0.6193003958204198,0.8429880014749594,-0.10444301662388933,0.17275952616715787,0.48392483224576244,0.2815384615384615
delta_C2_equal_cardinality_chamfer,pca_eigenvalue_0,25,0.6666891016911338,0.8629362748292329,-0.0906001449615501,0.2557538899173098,0.5501121405768551,0.23615384615384616
delta_C2_fscore_2x,pca_eigenvalue_0,25,0.7820242262875317,0.8953025573722733,0.05827276985399508,0.6018267672432773,0.8345837370410979,0.1096533269758623
delta_C2_gt_to_pred,pca_eigenvalue_0,25,0.04210371198189987,0.27427560948209057,0.4094422935479805,0.010231357533068983,0.14738155970367386,0.5038461538461538
delta_C3_chamfer,pca_eigenvalue_0,25,0.5958785595381221,0.8345837370410979,0.11144134993557124,0.6058053003522005,0.8345837370410979,0.10846153846153846
delta_C3_equal_cardinality_chamfer,pca_eigenvalue_0,25,0.3663459022188629,0.6576918559519743,0.18869782825110584,0.4811005696665244,0.7487435486960243,0.1476923076923077
delta_C3_fscore_2x,pca_eigenvalue_0,25,0.672248003409194,0.8629362748292329,0.08900122268777565,0.6712097591008904,0.8629362748292329,0.08929948758460521
delta_C3_gt_to_pred,pca_eigenvalue_0,25,0.1278719340047243,0.42922928142602396,0.31282346835512814,0.16082608766934545,0.48392483224576244,0.2892307692307692
delta_C1_chamfer,pca_eigenvalue_1,25,0.5341193239194967,0.8091641584959817,-0.13049327187642512,0.21363539140584972,0.5016286500536713,0.25769230769230766
delta_C1_equal_cardinality_chamfer,pca_eigenvalue_1,25,0.5516808298303872,0.8203402725837852,-0.1249788073406874,0.17895216877264739,0.48392483224576244,0.2776923076923077
delta_C1_fscore_2x,pca_eigenvalue_1,25,0.8903759642828187,0.9568794073408381,0.029047062749074707,0.755251756282782,0.8953025573722733,0.06563755487991757
delta_C1_gt_to_pred,pca_eigenvalue_1,25,0.03957945789674376,0.26937660896888294,0.4141340407097434,0.014619098711298685,0.14738155970367386,0.4823076923076923
delta_C2_chamfer,pca_eigenvalue_1,25,0.5341193239194967,0.8091641584959817,-0.13049327187642512,0.21363539140584972,0.5016286500536713,0.25769230769230766
delta_C2_equal_cardinality_chamfer,pca_eigenvalue_1,25,0.5898761958172916,0.8327663940949998,-0.11325336530957067,0.2494297208431553,0.5442103000214297,0.23923076923076922
delta_C2_fscore_2x,pca_eigenvalue_1,25,0.8903759642828187,0.9568794073408381,0.029047062749074707,0.755251756282782,0.8953025573722733,0.06563755487991757
delta_C2_gt_to_pred,pca_eigenvalue_1,25,0.03957945789674376,0.26937660896888294,0.4141340407097434,0.014619098711298685,0.14738155970367386,0.4823076923076923
delta_C3_chamfer,pca_eigenvalue_1,25,0.5770497757995406,0.8279736064477712,0.11715233893073963,0.6634348089960707,0.8629362748292329,0.09153846153846153
delta_C3_equal_cardinality_chamfer,pca_eigenvalue_1,25,0.34981943702984264,0.6424123488479255,0.19517316563728412,0.5044771926366052,0.7824544212322856,0.13999999999999999
delta_C3_fscore_2x,pca_eigenvalue_1,25,0.7087330830874732,0.8806056836182228,0.07862090658527715,0.789614908041317,0.8953025573722733,0.056197091324794654
delta_C3_gt_to_pred,pca_eigenvalue_1,25,0.10511550201488705,0.37954475368423357,0.3318376037280853,0.166717948031417,0.48392483224576244,0.28538461538461535
delta_C1_chamfer,pca_eigenvalue_2,25,0.6774806719054064,0.8629362748292329,-0.0875005254211729,0.3136771274507805,0.6220728130779665,0.21000000000000002
delta_C1_equal_cardinality_chamfer,pca_eigenvalue_2,25,0.7422024196280974,0.8953025573722733,-0.06925414294554236,0.2310733663174255,0.5165169364742452,0.24846153846153846
delta_C1_fscore_2x,pca_eigenvalue_2,25,0.9436339686284727,0.9693323246544356,0.01490287629995277,0.9124765723661361,0.9568794073408381,-0.02316619583997091
delta_C1_gt_to_pred,pca_eigenvalue_2,25,0.03951703710971444,0.26937660896888294,0.4142530231176831,0.02803874858736798,0.22430998869894384,0.4392307692307692
delta_C2_chamfer,pca_eigenvalue_2,25,0.6774806719054064,0.8629362748292329,-0.0875005254211729,0.3136771274507805,0.6220728130779665,0.21000000000000002
delta_C2_equal_cardinality_chamfer,pca_eigenvalue_2,25,0.780428348087133,0.8953025573722733,-0.05870983162565772,0.34159875287547165,0.6383976693082585,0.19846153846153847
delta_C2_fscore_2x,pca_eigenvalue_2,25,0.9436339686284727,0.9693323246544356,0.01490287629995277,0.9124765723661361,0.9568794073408381,-0.02316619583997091
delta_C2_gt_to_pred,pca_eigenvalue_2,25,0.03951703710971444,0.26937660896888294,0.4142530231176831,0.02803874858736798,0.22430998869894384,0.4392307692307692
delta_C3_chamfer,pca_eigenvalue_2,25,0.5156706753727132,0.7971045015930752,0.13637917995180537,0.912812592529089,0.9568794073408381,0.023076923076923078
delta_C3_equal_cardinality_chamfer,pca_eigenvalue_2,25,0.3056632553559835,0.618375127866938,0.21342669428320882,0.7367559509342093,0.8953025573722733,0.07076923076923076
delta_C3_fscore_2x,pca_eigenvalue_2,25,0.7598913534684371,0.8953025573722733,0.06435610596235859,0.7811704598630826,0.8953025573722733,-0.05850656083129307
delta_C3_gt_to_pred,pca_eigenvalue_2,25,0.129898335168402,0.42922928142602396,0.311253909635704,0.3064753923200176,0.618375127866938,0.21307692307692308
delta_C1_chamfer,estimated_curvature,25,0.19810231441156312,0.5016286500536713,0.2663519943061963,0.40171841124929525,0.685407218308456,0.1753846153846154
delta_C1_equal_cardinality_chamfer,estimated_curvature,25,0.14051840759181344,0.4576892082567208,0.30330534270291737,0.5828498413809968,0.8279736064477712,0.11538461538461539
delta_C1_fscore_2x,estimated_curvature,25,0.005818338404827957,0.13964153177208397,0.5353670636138584,0.059895189546462155,0.3152963818419895,0.381470024831521
delta_C1_gt_to_pred,estimated_curvature,25,0.8314376720321041,0.9048581824502134,0.04484623070221362,0.801060182912034,0.8953025573722733,0.05307692307692308
delta_C2_chamfer,estimated_curvature,25,0.19810231441156312,0.5016286500536713,0.2663519943061963,0.40171841124929525,0.685407218308456,0.1753846153846154
delta_C2_equal_cardinality_chamfer,estimated_curvature,25,0.1720969535130642,0.48392483224576244,0.2819556297968772,0.28038817091865614,0.5839278693598201,0.22461538461538463
delta_C2_fscore_2x,estimated_curvature,25,0.005818338404827957,0.13964153177208397,0.5353670636138584,0.059895189546462155,0.3152963818419895,0.381470024831521
delta_C2_gt_to_pred,estimated_curvature,25,0.8314376720321041,0.9048581824502134,0.04484623070221362,0.801060182912034,0.8953025573722733,0.05307692307692308
delta_C3_chamfer,estimated_curvature,25,0.46002895085055584,0.7302820900339912,0.15479041720475933,0.5677601210384973,0.8203402725837852,0.12
delta_C3_equal_cardinality_chamfer,estimated_curvature,25,0.35133690566990855,0.6424123488479255,0.19457119000118617,0.6768111447527602,0.8629362748292329,0.0876923076923077
delta_C3_fscore_2x,estimated_curvature,25,0.030085132635323412,0.23252328563489333,0.43424271557413535,0.17860385327088407,0.48392483224576244,0.2779061639486421
delta_C3_gt_to_pred,estimated_curvature,25,0.6043081861692123,0.8345837370410979,0.10890962008116771,0.41015675388856687,0.685407218308456,0.1723076923076923
delta_C1_chamfer,normal_confidence,25,0.19810271519690514,0.5016286500536713,-0.26635176501690655,0.40171841124929525,0.685407218308456,-0.1753846153846154
delta_C1_equal_cardinality_chamfer,normal_confidence,25,0.14051861657004588,0.4576892082567208,-0.30330519061837863,0.5828498413809968,0.8279736064477712,-0.11538461538461539
delta_C1_fscore_2x,normal_confidence,25,0.005818397157170165,0.13964153177208397,-0.5353665252756041,0.059895189546462155,0.3152963818419895,-0.381470024831521
delta_C1_gt_to_pred,normal_confidence,25,0.8314366167300277,0.9048581824502134,-0.044846515457897286,0.801060182912034,0.8953025573722733,-0.05307692307692308
delta_C2_chamfer,normal_confidence,25,0.19810271519690514,0.5016286500536713,-0.26635176501690655,0.40171841124929525,0.685407218308456,-0.1753846153846154
delta_C2_equal_cardinality_chamfer,normal_confidence,25,0.17209708798087672,0.48392483224576244,-0.2819555450197964,0.28038817091865614,0.5839278693598201,-0.22461538461538463
delta_C2_fscore_2x,normal_confidence,25,0.005818397157170165,0.13964153177208397,-0.5353665252756041,0.059895189546462155,0.3152963818419895,-0.381470024831521
delta_C2_gt_to_pred,normal_confidence,25,0.8314366167300277,0.9048581824502134,-0.044846515457897286,0.801060182912034,0.8953025573722733,-0.05307692307692308
delta_C3_chamfer,normal_confidence,25,0.4600292422850283,0.7302820900339912,-0.15479031788255485,0.5677601210384973,0.8203402725837852,-0.12
delta_C3_equal_cardinality_chamfer,normal_confidence,25,0.3513369005125282,0.6424123488479255,-0.19457119204448925,0.6768111447527602,0.8629362748292329,-0.0876923076923077
delta_C3_fscore_2x,normal_confidence,25,0.03008524967644453,0.23252328563489333,-0.43424243817925007,0.17860385327088407,0.48392483224576244,-0.2779061639486421
delta_C3_gt_to_pred,normal_confidence,25,0.6043075070585119,0.8345837370410979,-0.10890982344222433,0.41015675388856687,0.685407218308456,-0.1723076923076923
