match,method,metric,new_normal_affinity,new_value,old_normal_affinity,old_value,roi
DIFF,C3,pred_to_gt_mean,hard,0.05281710074569726,soft,0.010447090102054666,roi_C_layered
DIFF,C3,gt_to_pred_mean,hard,0.020475221879876455,soft,0.01536992764732476,roi_C_layered
DIFF,C3,equal_cardinality_chamfer,hard,0.03716831892372324,soft,0.013979956336810158,roi_C_layered
DIFF,C3,normal_angular_error,hard,49.38664245605469,soft,48.63441848754883,roi_C_layered
DIFF,C3,appearance_rmse,hard,0.41106537587161274,soft,0.22728324540187433,roi_C_layered
DIFF,C3,boundary_seam_error,hard,0.5436039881878734,soft,0.1684612043397865,roi_C_layered
OK,C3,N_spawn,hard,45,soft,45,roi_C_layered
OK,C3,N_budget,hard,45,soft,45,roi_C_layered
DIFF,C3,observable_local_spacing,hard,,soft,0.003800127218144841,roi_C_layered
OK,C0,symmetric_chamfer,hard,0.03019518963959182,hard,0.03019518963959182,roi_D_curved_v2
OK,C0,pred_to_gt_mean,hard,0.025788129545580678,hard,0.025788129545580678,roi_D_curved_v2
OK,C0,gt_to_pred_mean,hard,0.034602249733602965,hard,0.034602249733602965,roi_D_curved_v2
DIFF,C0,equal_cardinality_chamfer,hard,0.034990184438734,hard,0.03420857100444859,roi_D_curved_v2
OK,C0,normal_angular_error,hard,50.1574821472168,hard,50.1574821472168,roi_D_curved_v2
OK,C0,appearance_rmse,hard,1.265022920680547,hard,1.265022920680547,roi_D_curved_v2
OK,C0,boundary_seam_error,hard,1.1887667680735328,hard,1.1887667680735328,roi_D_curved_v2
OK,C0,N_spawn,hard,47,hard,47,roi_D_curved_v2
OK,C0,N_budget,hard,47,hard,47,roi_D_curved_v2
DIFF,C0,observable_local_spacing,hard,,hard,0.015144802936531185,roi_D_curved_v2
OK,C1,symmetric_chamfer,hard,0.037526471834205176,hard,0.037526471834205176,roi_D_curved_v2
OK,C1,pred_to_gt_mean,hard,0.035128399768726386,hard,0.035128399768726386,roi_D_curved_v2
OK,C1,gt_to_pred_mean,hard,0.039924543899683966,hard,0.039924543899683966,roi_D_curved_v2
DIFF,C1,equal_cardinality_chamfer,hard,0.04099324824728895,hard,0.04138949861266383,roi_D_curved_v2
OK,C1,normal_angular_error,hard,61.657630920410156,hard,61.657630920410156,roi_D_curved_v2
OK,C1,appearance_rmse,hard,1.2365255631092054,hard,1.2365255631092054,roi_D_curved_v2
OK,C1,boundary_seam_error,hard,1.2643692071626844,hard,1.2643692071626844,roi_D_curved_v2
OK,C1,N_spawn,hard,47,hard,47,roi_D_curved_v2
OK,C1,N_budget,hard,47,hard,47,roi_D_curved_v2
DIFF,C1,observable_local_spacing,hard,,hard,0.015144802936531185,roi_D_curved_v2
OK,C2,symmetric_chamfer,hard,0.037526471834205176,hard,0.037526471834205176,roi_D_curved_v2
OK,C2,pred_to_gt_mean,hard,0.035128399768726386,hard,0.035128399768726386,roi_D_curved_v2
OK,C2,gt_to_pred_mean,hard,0.039924543899683966,hard,0.039924543899683966,roi_D_curved_v2
DIFF,C2,equal_cardinality_chamfer,hard,0.042853455983919264,hard,0.040620646162585906,roi_D_curved_v2
OK,C2,normal_angular_error,hard,61.657630920410156,hard,61.657630920410156,roi_D_curved_v2
OK,C2,appearance_rmse,hard,1.2485141757010982,hard,1.2485141757010982,roi_D_curved_v2
OK,C2,boundary_seam_error,hard,1.2763124857830968,hard,1.2763124857830968,roi_D_curved_v2
OK,C2,N_spawn,hard,47,hard,47,roi_D_curved_v2
OK,C2,N_budget,hard,47,hard,47,roi_D_curved_v2
DIFF,C2,observable_local_spacing,hard,,hard,0.015144802936531185,roi_D_curved_v2
OK,C3,symmetric_chamfer,hard,0.037526471834205176,hard,0.037526471834205176,roi_D_curved_v2
OK,C3,pred_to_gt_mean,hard,0.035128399768726386,hard,0.035128399768726386,roi_D_curved_v2
OK,C3,gt_to_pred_mean,hard,0.039924543899683966,hard,0.039924543899683966,roi_D_curved_v2
DIFF,C3,equal_cardinality_chamfer,hard,0.043763402953497475,hard,0.04286226912656728,roi_D_curved_v2
OK,C3,normal_angular_error,hard,61.657630920410156,hard,61.657630920410156,roi_D_curved_v2
OK,C3,appearance_rmse,hard,1.2485141757010982,hard,1.2485141757010982,roi_D_curved_v2
OK,C3,boundary_seam_error,hard,1.2763124857830968,hard,1.2763124857830968,roi_D_curved_v2
OK,C3,N_spawn,hard,47,hard,47,roi_D_curved_v2
OK,C3,N_budget,hard,47,hard,47,roi_D_curved_v2
DIFF,C3,observable_local_spacing,hard,,hard,0.015144802936531185,roi_D_curved_v2
