roi,N_GT_removed,N_spawn_old,N_spawn_new,old_spawn_ratio,new_spawn_ratio,old_chamfer,new_chamfer,old_normal_error,new_normal_error
roi_B_junction,53,1024,83,19.32075471698113,1.5660377358490567,0.03919132503142684,0.04691896195475048,42.67243957519531,30.267866134643555
roi_C_layered,69,81,45,1.173913043478261,0.6521739130434783,0.010615912030649866,0.012908508874689712,50.68912124633789,48.63441848754883
roi_D_curved_v2,160,784,69,4.9,0.43125,N/A,0.03753980397033836,N/A,65.29195404052734
roi_D_curved_legacy,53,9025,49,170.28301886792454,0.9245283018867925,0.15074856294766595,0.10494704472973514,40.28413391113281,20.92112922668457
