roi,variant,normal_affinity,source,symmetric_chamfer,equal_cardinality_chamfer,pred_to_gt,gt_to_pred,fscore_0p5,fscore_1p0,fscore_2p0,normal_error,appearance_rmse,seam_error,runtime_s
roi_B_junction,C0,hard,count_matched,0.061933540538978066,0.061933540538978066,0.04073945664226624,0.08312762443568988,,,,19.503082275390625,1.6780332340387918,1.680804441212129,2.5904037952423096
roi_B_junction,C1,hard,count_matched,0.042514346165251765,0.042514346165251765,0.045402941733106335,0.03962575059739719,,,,29.71688461303711,1.6805650950995425,1.6827150749997157,2.5339648723602295
roi_B_junction,C2,hard,count_matched,0.042514346165251765,0.042514346165251765,0.045402941733106335,0.03962575059739719,,,,29.71688461303711,1.6807671305137357,1.68291685230725,2.554664134979248
roi_B_junction,C3,hard,count_matched,0.038993112920661585,0.038993112920661585,0.0404981910796471,0.03748803476167607,,,,26.552024841308594,1.6469345948624166,1.6488717615409982,2.6139285564422607
roi_C_layered,C0,soft,count_matched,0.014068835965681972,0.014438682947349197,0.009989341235944485,0.01814833069541946,,,,44.81156539916992,0.2297989383761093,0.13212392530381065,2.639193058013916
roi_C_layered,C1,soft,count_matched,0.014068835965681972,0.014905879304356056,0.009989341235944485,0.01814833069541946,,,,44.81156539916992,0.23114243907161294,0.1336075438497344,2.5213143825531006
roi_C_layered,C2,soft,count_matched,0.014068835965681972,0.013860741809327493,0.009989341235944485,0.01814833069541946,,,,44.81156539916992,0.23573751440971924,0.14993616922072223,2.559390068054199
roi_C_layered,C3,soft,count_matched,0.012908508874689712,0.013979956336810158,0.010447090102054666,0.01536992764732476,,,,48.63441848754883,0.22728324540187433,0.1684612043397865,2.5842652320861816
roi_D_curved_v2,C0,hard,count_matched,0.03019518963959182,0.03420857100444859,0.025788129545580678,0.034602249733602965,,,,50.1574821472168,1.265022920680547,1.1887667680735328,2.662675380706787
roi_D_curved_v2,C1,hard,count_matched,0.037526471834205176,0.04138949861266383,0.035128399768726386,0.039924543899683966,,,,61.657630920410156,1.2365255631092054,1.2643692071626844,2.545550584793091
roi_D_curved_v2,C2,hard,count_matched,0.037526471834205176,0.040620646162585906,0.035128399768726386,0.039924543899683966,,,,61.657630920410156,1.2485141757010982,1.2763124857830968,2.5738914012908936
roi_D_curved_v2,C3,hard,count_matched,0.037526471834205176,0.04286226912656728,0.035128399768726386,0.039924543899683966,,,,61.657630920410156,1.2485141757010982,1.2763124857830968,2.5649290084838867
