roi,method,N_spawn,N_GT_evaluation_only,observable_local_spacing,threshold_multiplier,distance_threshold,precision,recall,fscore
roi_B_junction,C0,53,53,0.01677585877025532,0.5,0.00838792938512766,0.0,0.0,0.0
roi_B_junction,C0,53,53,0.01677585877025532,1.0,0.01677585877025532,0.0,0.0,0.0
roi_B_junction,C0,53,53,0.01677585877025532,2.0,0.03355171754051064,0.3018867924528302,0.05660377358490566,0.09533267130062784
roi_B_junction,C1,53,53,0.01677585877025532,0.5,0.00838792938512766,0.0,0.0,0.0
roi_B_junction,C1,53,53,0.01677585877025532,1.0,0.01677585877025532,0.018867924528301886,0.03773584905660377,0.02515723270395807
roi_B_junction,C1,53,53,0.01677585877025532,2.0,0.03355171754051064,0.3018867924528302,0.32075471698113206,0.31103487707211336
roi_B_junction,C2,53,53,0.01677585877025532,0.5,0.00838792938512766,0.0,0.0,0.0
roi_B_junction,C2,53,53,0.01677585877025532,1.0,0.01677585877025532,0.018867924528301886,0.03773584905660377,0.02515723270395807
roi_B_junction,C2,53,53,0.01677585877025532,2.0,0.03355171754051064,0.3018867924528302,0.32075471698113206,0.31103487707211336
roi_B_junction,C3,53,53,0.01677585877025532,0.5,0.00838792938512766,0.0,0.0,0.0
roi_B_junction,C3,53,53,0.01677585877025532,1.0,0.01677585877025532,0.09433962264150944,0.09433962264150944,0.09433962264100942
roi_B_junction,C3,53,53,0.01677585877025532,2.0,0.03355171754051064,0.5471698113207547,0.49056603773584906,0.517324185248215
roi_C_layered,C0,45,69,0.003800127218144841,0.5,0.0019000636090724205,0.0,0.0,0.0
roi_C_layered,C0,45,69,0.003800127218144841,1.0,0.003800127218144841,0.044444444444444446,0.043478260869565216,0.04395604395554401
roi_C_layered,C0,45,69,0.003800127218144841,2.0,0.007600254436289682,0.2222222222222222,0.17391304347826086,0.19512195121901965
roi_C_layered,C1,45,69,0.003800127218144841,0.5,0.0019000636090724205,0.0,0.0,0.0
roi_C_layered,C1,45,69,0.003800127218144841,1.0,0.003800127218144841,0.044444444444444446,0.043478260869565216,0.04395604395554401
roi_C_layered,C1,45,69,0.003800127218144841,2.0,0.007600254436289682,0.2222222222222222,0.17391304347826086,0.19512195121901965
roi_C_layered,C2,45,69,0.003800127218144841,0.5,0.0019000636090724205,0.0,0.0,0.0
roi_C_layered,C2,45,69,0.003800127218144841,1.0,0.003800127218144841,0.044444444444444446,0.043478260869565216,0.04395604395554401
roi_C_layered,C2,45,69,0.003800127218144841,2.0,0.007600254436289682,0.2222222222222222,0.17391304347826086,0.19512195121901965
roi_C_layered,C3,45,69,0.003800127218144841,0.5,0.0019000636090724205,0.0,0.0,0.0
roi_C_layered,C3,45,69,0.003800127218144841,1.0,0.003800127218144841,0.022222222222222223,0.014492753623188406,0.01754385964864497
roi_C_layered,C3,45,69,0.003800127218144841,2.0,0.007600254436289682,0.17777777777777778,0.11594202898550725,0.14035087719250464
roi_D_curved_v2,C0,47,160,0.015144802936531185,0.5,0.007572401468265592,0.0851063829787234,0.03125,0.04571428571389283
roi_D_curved_v2,C0,47,160,0.015144802936531185,1.0,0.015144802936531185,0.2765957446808511,0.1125,0.15994531783964364
roi_D_curved_v2,C0,47,160,0.015144802936531185,2.0,0.03028960587306237,0.6808510638297872,0.43125,0.528040176969512
roi_D_curved_v2,C1,47,160,0.015144802936531185,0.5,0.007572401468265592,0.0425531914893617,0.0125,0.01932367149723354
roi_D_curved_v2,C1,47,160,0.015144802936531185,1.0,0.015144802936531185,0.19148936170212766,0.08125,0.11409068746910876
roi_D_curved_v2,C1,47,160,0.015144802936531185,2.0,0.03028960587306237,0.5319148936170213,0.35625,0.4267105854164982
roi_D_curved_v2,C2,47,160,0.015144802936531185,0.5,0.007572401468265592,0.0425531914893617,0.0125,0.01932367149723354
roi_D_curved_v2,C2,47,160,0.015144802936531185,1.0,0.015144802936531185,0.19148936170212766,0.08125,0.11409068746910876
roi_D_curved_v2,C2,47,160,0.015144802936531185,2.0,0.03028960587306237,0.5319148936170213,0.35625,0.4267105854164982
roi_D_curved_v2,C3,47,160,0.015144802936531185,0.5,0.007572401468265592,0.0425531914893617,0.0125,0.01932367149723354
roi_D_curved_v2,C3,47,160,0.015144802936531185,1.0,0.015144802936531185,0.19148936170212766,0.08125,0.11409068746910876
roi_D_curved_v2,C3,47,160,0.015144802936531185,2.0,0.03028960587306237,0.5319148936170213,0.35625,0.4267105854164982
