model,n,balanced_acc,auroc,pr_auc,macro_f1
majority,25,0.5,nan,nan,0.16666666666651667
hole_size,25,0.9,0.8,0.40349206349206346,0.8015873015867494
visibility,25,0.775,0.71,0.3468253968253968,0.7023809523804119
layer,25,0.675,0.47,0.3495238095238095,0.7023809523803846
visibility+layer,25,0.525,0.27,0.18,0.5257452574520328
