scene,roi,known_case,delta_C1_chamfer,relative_C1_chamfer,delta_C1_equal_cardinality_chamfer,delta_C1_fscore_2x,delta_C1_gt_to_pred,delta_C1_recall_2x,delta_C2_chamfer,relative_C2_chamfer,delta_C2_equal_cardinality_chamfer,delta_C2_fscore_2x,delta_C2_gt_to_pred,delta_C2_recall_2x,delta_C3_chamfer,relative_C3_chamfer,delta_C3_equal_cardinality_chamfer,delta_C3_fscore_2x,delta_C3_gt_to_pred,delta_C3_recall_2x,C1_group,C3_group
ramen,roi_B_junction,True,0.0194191943737263,0.3135489139605182,0.0194191943737263,0.02515723270395807,0.043501873838292696,0.03773584905660377,0.0194191943737263,0.3135489139605182,0.0194191943737263,0.02515723270395807,0.043501873838292696,0.03773584905660377,0.02294042761831648,0.3704039429794725,0.02294042761831648,0.1509433962259151,0.04563958967401381,0.1509433962264151,clearly_helps,clearly_helps
ramen,roi_C_layered,True,-0.023749167697064567,-1.6880691305944409,-0.02330510804646768,-0.6701900574856907,-0.004775706300276551,-0.2028985507246377,-0.023749167697064567,-1.6880691305944409,-0.02291875049528348,-0.6701900574856907,-0.004775706300276551,-0.2028985507246377,-0.022577325347104882,-1.6047756475502037,-0.022410378127255586,-0.6332832301031445,-0.002326891184456996,-0.13043478260869568,clearly_hurts,clearly_hurts
ramen,roi_D_curved_v2,True,-0.007331282194613355,-0.24279636200729815,-0.006003063808554948,-0.026087993252802144,-0.005322294166081001,-0.01874999999999999,-0.007331282194613355,-0.24279636200729815,-0.007863271545185263,-0.026087993252802144,-0.005322294166081001,-0.01874999999999999,-0.007331282194613355,-0.24279636200729815,-0.008773218514763474,-0.026087993252802144,-0.005322294166081001,-0.01874999999999999,clearly_hurts,clearly_hurts
ramen,ramen_sample_001,False,-0.0014903685216484698,-0.08896423051856177,-0.0014985809955456036,-0.05532503457815208,-5.0171839531935186e-05,-0.0357142857142857,-0.0014903685216484698,-0.08896423051856177,-0.001495633097914388,-0.05532503457815208,-5.0171839531935186e-05,-0.0357142857142857,0.002443195536429769,0.14584111764816696,0.0025463027909918435,0.11918795022915918,0.009761098452645615,0.3928571428571429,clearly_hurts,clearly_helps
ramen,ramen_sample_002,False,-0.0016299539397943404,-0.2837720296352456,-0.0014469293608025194,-0.06429178376174449,0.0011107358086194976,0.014563106796116498,-0.0016299539397943404,-0.2837720296352456,-0.0015589466719968994,-0.06429178376174449,0.0011107358086194976,0.014563106796116498,-0.003322178838753958,-0.5783853205099923,-0.003399459897433073,-0.053688141923434074,0.0010350010242553406,0.01941747572815533,clearly_hurts,clearly_hurts
ramen,ramen_sample_003,False,0.013832074221819472,0.2849758658926088,0.008243555112477846,0.06842613205843057,0.027254449201646137,0.08928571428571429,0.013832074221819472,0.2849758658926088,0.008009552811472441,0.06842613205843057,0.027254449201646137,0.08928571428571429,0.016917609277940962,0.3485457260783762,0.013908755294087666,0.23247861148580154,0.04254393719205096,0.35714285714285715,clearly_helps,clearly_helps
ramen,ramen_sample_004,False,0.002795602099585081,0.11616228413890559,0.0018119344921088583,0.10313633878418577,0.008881078891178638,0.23214285714285715,0.002795602099585081,0.11616228413890559,0.00026200420820047393,0.10313633878418577,0.008881078891178638,0.23214285714285715,-0.012151834389185583,-0.5049305261771714,-0.012909802215145903,-0.14642532106385214,-0.0022179621422903605,-0.07142857142857145,clearly_helps,clearly_hurts
ramen,ramen_sample_005,False,0.001279973784698657,0.036126786041831116,0.0010406209425072727,0.0010901162790773467,0.005927747783738092,0.017857142857142877,0.001279973784698657,0.036126786041831116,0.000677538667121072,0.0010901162790773467,0.005927747783738092,0.017857142857142877,-0.012426001375738335,-0.35071928692858717,-0.011455769770225395,-0.0284237726097947,-0.0001767777438316867,0.0,neutral,clearly_hurts
ramen,ramen_sample_006,False,0.005081458432228549,0.17636255082457164,0.004533784550576098,0.031103874135381404,0.010352305887644866,0.0357142857142857,0.005081458432228549,0.17636255082457164,-0.00046955815991003846,0.031103874135381404,0.010352305887644866,0.0357142857142857,0.003819418686861656,0.1325608447389265,0.004021127156230812,0.09954951602820317,0.01962239595596575,0.32142857142857145,clearly_helps,clearly_helps
ramen,ramen_sample_007,False,0.000961961026251526,0.015206823752611079,0.0007468879631934017,0.0,0.006429110066574949,0.0,0.000961961026251526,0.015206823752611079,-0.003537692016746946,0.0,0.006429110066574949,0.0,0.0020183889253393705,0.031906993957396,0.0028351795298465904,0.0,0.00684737290370506,0.0,neutral,neutral
ramen,ramen_sample_008,False,-0.025412359475757776,-0.4310664101909056,-0.024497502931530357,-0.10971967924186696,0.011539391048551575,-0.07142857142857142,-0.025412359475757776,-0.4310664101909056,-0.024300066142356733,-0.10971967924186696,0.011539391048551575,-0.07142857142857142,-0.003982826310561766,-0.06756014299835311,-0.0014655866158578626,-0.0017525136213874248,0.023076910035959283,0.05357142857142856,clearly_hurts,clearly_hurts
ramen,ramen_sample_009,False,0.015137279845126722,0.2487389715156939,0.013889149205371286,0.0026988897749154334,0.032591471692775605,0.0,0.015137279845126722,0.2487389715156939,0.014175055769045167,0.0026988897749154334,0.032591471692775605,0.0,0.011799581859151254,0.19389321502868415,0.009989458840028699,0.019505612463872654,0.04362530099831669,0.08928571428571427,clearly_helps,clearly_helps
ramen,ramen_sample_010,False,0.0014570765494158772,0.10736201508593846,0.0014888651494836345,0.13268701748154732,0.003627701897679851,0.171875,0.0014570765494158772,0.10736201508593846,0.0012601488429886138,0.13268701748154732,0.003627701897679851,0.171875,-0.002616012890703385,-0.19275611535255271,-0.002615787409750145,0.1134917723605674,0.007787621313839296,0.40625,clearly_helps,clearly_hurts
ramen,ramen_sample_011,False,0.0002700193049702884,0.020566161212360396,0.00019600287830327454,0.013003458837743564,0.001136074468958451,0.02970297029702973,0.0002700193049702884,0.020566161212360396,-6.783712674624659e-05,0.013003458837743564,0.001136074468958451,0.02970297029702973,-0.00568736917390527,-0.4331814398145172,-0.005965852209524992,-0.2429717620781796,0.003371712047395113,0.17821782178217827,neutral,clearly_hurts
ramen,ramen_sample_012,False,0.0009454739076011701,0.09684918777687074,0.0002976964002223328,0.09297592587632508,0.001938538280415937,0.15053763440860213,0.0009454739076011701,0.09684918777687074,0.0005260571258114792,0.09297592587632508,0.001938538280415937,0.15053763440860213,0.00232276289703887,0.237931156183064,0.002023908093431631,0.14329488902767373,0.004059676556569533,0.25806451612903225,clearly_helps,clearly_helps
ramen,ramen_sample_013,False,0.021504818835408196,0.1445435005946832,0.008363774778387734,0.0,0.04007435944223879,0.0,0.021504818835408196,0.1445435005946832,0.014082250153529846,0.0,0.04007435944223879,0.0,0.033314037632415736,0.22391853915104049,0.013940079893454277,0.0,0.05618783783205786,0.0,clearly_helps,clearly_helps
ramen,ramen_sample_014,False,-0.001708692050382269,-0.1345983560521845,-0.0014610307685787478,-0.0667377573619874,-0.0019620654762958958,-0.06315789473684208,-0.001708692050382269,-0.1345983560521845,-0.0009814405064903099,-0.0667377573619874,-0.0019620654762958958,-0.06315789473684208,-0.002734778429397615,-0.2154259924610426,-0.0021765320985620423,-0.15269431325164773,-0.003527135766115094,-0.17894736842105263,clearly_hurts,clearly_hurts
ramen,ramen_sample_015,False,0.0001427042477792767,0.004847338153936314,7.545065469622553e-05,0.0,0.00043642181178440986,0.0,0.0001427042477792767,0.004847338153936314,0.000824914335243232,0.0,0.00043642181178440986,0.0,0.006688168042008703,0.22718182979465784,0.006171237048340147,0.2970263496576278,0.02449090233801635,0.6166666666666666,neutral,clearly_helps
ramen,ramen_sample_016,False,0.0005739496156286945,0.032790675111264836,0.0006308887864078169,0.03598009298425364,0.0016769992646935086,0.039548022598870025,0.0005739496156286945,0.032790675111264836,0.0008640359859059948,0.03598009298425364,0.0016769992646935086,0.039548022598870025,0.002821243552208967,0.16118223309358015,0.0021479061965300385,0.1422313446488923,0.012752640692357686,0.4067796610169492,neutral,clearly_helps
ramen,ramen_sample_017,False,0.0044410115782696075,0.15988603889643738,0.003454524792703282,0.08184947045732888,0.010491700293177673,0.07142857142857142,0.0044410115782696075,0.15988603889643738,0.0030412647078448644,0.08184947045732888,0.010491700293177673,0.07142857142857142,0.008032113995750628,0.289173506556267,0.0048403160969463024,0.3222515039989681,0.02189221365315506,0.4821428571428571,clearly_helps,clearly_helps
ramen,ramen_sample_018,False,0.004440260052271574,0.14781895082787355,0.004082194176977937,-0.08674690090731468,0.009453650190280258,-0.053571428571428575,0.004440260052271574,0.14781895082787355,0.003333871601637367,-0.08674690090731468,0.009453650190280258,-0.053571428571428575,0.004234851463030681,0.14098077428073888,0.0013574910158592052,0.013792485781977282,0.019182897047753708,0.23214285714285715,clearly_helps,clearly_helps
ramen,ramen_sample_019,False,0.009463393586319431,0.33482032793666483,0.009169847611173482,0.34704915244611784,0.016406550920926993,0.3392857142857143,0.009463393586319431,0.33482032793666483,0.009509195206506664,0.34704915244611784,0.016406550920926993,0.3392857142857143,0.008930745773280315,0.31597494083427063,0.00936518940242121,0.43552688285127167,0.021571966423911227,0.625,clearly_helps,clearly_helps
ramen,ramen_sample_020,False,0.0,0.0,0.0011798925685234593,0.0,0.0,0.0,0.0,0.0,0.0009707498199686831,0.0,0.0,0.0,-0.010451677116428686,-0.4200829297611932,-0.009463597076028112,-0.1555650319829633,0.0018948250370922105,0.05357142857142855,neutral,clearly_hurts
ramen,ramen_sample_021,False,-0.004718237551653716,-0.23859881338926625,-0.004847819857409327,-0.09020058885723431,0.007346085793856975,0.26785714285714285,-0.004718237551653716,-0.23859881338926625,-0.004849908893456489,-0.09020058885723431,0.007346085793856975,0.26785714285714285,-0.001901947161050483,-0.09618047645707743,-0.002284362629186895,-0.027591837295015575,0.012083210000383142,0.41071428571428564,clearly_hurts,clearly_hurts
ramen,ramen_sample_022,False,0.004253241708805998,0.0818042040718626,0.00454106011216375,0.0,0.010154859503807644,0.0,0.004253241708805998,0.0818042040718626,-0.001799528183590124,0.0,0.010154859503807644,0.0,0.004302990055892256,0.0827610328194168,0.004583169387272927,0.0,0.010199735654595914,0.0,clearly_helps,clearly_helps
