descriptor,benefit_metric,pearson_r,pearson_p,spearman_r,spearman_p,n
density_ratio,delta_C1_gt_to_pred,0.49216698396500924,0.012449978361390415,0.7171989757506552,5.470298719004496e-05,25
density_ratio,delta_C2_chamfer,0.20436334930765537,0.32713698382122414,0.49134286053304005,0.012620457324279867,25
density_ratio,delta_C2_equal_cardinality_chamfer,0.15439470719338302,0.46119082070865014,0.4220854487116248,0.035576309440881346,25
density_ratio,delta_C2_fscore_2x,0.08334914725131065,0.6920309955551881,0.05871028134951585,0.7804267064181241,25
density_ratio,delta_C2_gt_to_pred,0.49216698396500924,0.012449978361390415,0.7171989757506552,5.470298719004496e-05,25
density_ratio,delta_C3_chamfer,0.26010853482950286,0.20922134471898093,0.3716814434415949,0.06733437553061004,25
density_ratio,delta_C3_equal_cardinality_chamfer,0.2581785223856805,0.21274216098790202,0.3951520107810745,0.05058162856026031,25
density_ratio,delta_C3_fscore_2x,0.17561955480569666,0.4010781209905922,0.25914518671281617,0.21097377287130253,25
density_ratio,delta_C3_gt_to_pred,0.4864208469062607,0.013679208505402196,0.5948442148661549,0.0017110485647314864,25
pca_eigenvalue_0,delta_C1_chamfer,-0.10444301662388933,0.6193003958204198,0.2815384615384615,0.17275952616715787,25
pca_eigenvalue_0,delta_C1_equal_cardinality_chamfer,-0.09491015957581303,0.6517901714132774,0.29615384615384616,0.15059346877779897,25
pca_eigenvalue_0,delta_C1_fscore_2x,0.05827276985399508,0.7820242262875317,0.1096533269758623,0.6018267672432773,25
pca_eigenvalue_0,delta_C1_gt_to_pred,0.4094422935479805,0.04210371198189987,0.5038461538461538,0.010231357533068983,25
pca_eigenvalue_0,delta_C2_chamfer,-0.10444301662388933,0.6193003958204198,0.2815384615384615,0.17275952616715787,25
pca_eigenvalue_0,delta_C2_equal_cardinality_chamfer,-0.0906001449615501,0.6666891016911338,0.23615384615384616,0.2557538899173098,25
pca_eigenvalue_0,delta_C2_fscore_2x,0.05827276985399508,0.7820242262875317,0.1096533269758623,0.6018267672432773,25
pca_eigenvalue_0,delta_C2_gt_to_pred,0.4094422935479805,0.04210371198189987,0.5038461538461538,0.010231357533068983,25
pca_eigenvalue_0,delta_C3_chamfer,0.11144134993557124,0.5958785595381221,0.10846153846153846,0.6058053003522005,25
pca_eigenvalue_0,delta_C3_equal_cardinality_chamfer,0.18869782825110584,0.3663459022188629,0.1476923076923077,0.4811005696665244,25
pca_eigenvalue_0,delta_C3_fscore_2x,0.08900122268777565,0.672248003409194,0.08929948758460521,0.6712097591008904,25
pca_eigenvalue_0,delta_C3_gt_to_pred,0.31282346835512814,0.1278719340047243,0.2892307692307692,0.16082608766934545,25
pca_eigenvalue_1,delta_C1_chamfer,-0.13049327187642512,0.5341193239194967,0.25769230769230766,0.21363539140584972,25
pca_eigenvalue_1,delta_C1_equal_cardinality_chamfer,-0.1249788073406874,0.5516808298303872,0.2776923076923077,0.17895216877264739,25
pca_eigenvalue_1,delta_C1_fscore_2x,0.029047062749074707,0.8903759642828187,0.06563755487991757,0.755251756282782,25
pca_eigenvalue_1,delta_C1_gt_to_pred,0.4141340407097434,0.03957945789674376,0.4823076923076923,0.014619098711298685,25
pca_eigenvalue_1,delta_C2_chamfer,-0.13049327187642512,0.5341193239194967,0.25769230769230766,0.21363539140584972,25
pca_eigenvalue_1,delta_C2_equal_cardinality_chamfer,-0.11325336530957067,0.5898761958172916,0.23923076923076922,0.2494297208431553,25
pca_eigenvalue_1,delta_C2_fscore_2x,0.029047062749074707,0.8903759642828187,0.06563755487991757,0.755251756282782,25
pca_eigenvalue_1,delta_C2_gt_to_pred,0.4141340407097434,0.03957945789674376,0.4823076923076923,0.014619098711298685,25
pca_eigenvalue_1,delta_C3_chamfer,0.11715233893073963,0.5770497757995406,0.09153846153846153,0.6634348089960707,25
pca_eigenvalue_1,delta_C3_equal_cardinality_chamfer,0.19517316563728412,0.34981943702984264,0.13999999999999999,0.5044771926366052,25
pca_eigenvalue_1,delta_C3_fscore_2x,0.07862090658527715,0.7087330830874732,0.056197091324794654,0.789614908041317,25
pca_eigenvalue_1,delta_C3_gt_to_pred,0.3318376037280853,0.10511550201488705,0.28538461538461535,0.166717948031417,25
pca_eigenvalue_2,delta_C1_chamfer,-0.0875005254211729,0.6774806719054064,0.21000000000000002,0.3136771274507805,25
pca_eigenvalue_2,delta_C1_equal_cardinality_chamfer,-0.06925414294554236,0.7422024196280974,0.24846153846153846,0.2310733663174255,25
pca_eigenvalue_2,delta_C1_fscore_2x,0.01490287629995277,0.9436339686284727,-0.02316619583997091,0.9124765723661361,25
pca_eigenvalue_2,delta_C1_gt_to_pred,0.4142530231176831,0.03951703710971444,0.4392307692307692,0.02803874858736798,25
pca_eigenvalue_2,delta_C2_chamfer,-0.0875005254211729,0.6774806719054064,0.21000000000000002,0.3136771274507805,25
pca_eigenvalue_2,delta_C2_equal_cardinality_chamfer,-0.05870983162565772,0.780428348087133,0.19846153846153847,0.34159875287547165,25
pca_eigenvalue_2,delta_C2_fscore_2x,0.01490287629995277,0.9436339686284727,-0.02316619583997091,0.9124765723661361,25
pca_eigenvalue_2,delta_C2_gt_to_pred,0.4142530231176831,0.03951703710971444,0.4392307692307692,0.02803874858736798,25
pca_eigenvalue_2,delta_C3_chamfer,0.13637917995180537,0.5156706753727132,0.023076923076923078,0.912812592529089,25
pca_eigenvalue_2,delta_C3_equal_cardinality_chamfer,0.21342669428320882,0.3056632553559835,0.07076923076923076,0.7367559509342093,25
pca_eigenvalue_2,delta_C3_fscore_2x,0.06435610596235859,0.7598913534684371,-0.05850656083129307,0.7811704598630826,25
pca_eigenvalue_2,delta_C3_gt_to_pred,0.311253909635704,0.129898335168402,0.21307692307692308,0.3064753923200176,25
estimated_curvature,delta_C1_chamfer,0.2663519943061963,0.19810231441156312,0.1753846153846154,0.40171841124929525,25
estimated_curvature,delta_C1_equal_cardinality_chamfer,0.30330534270291737,0.14051840759181344,0.11538461538461539,0.5828498413809968,25
estimated_curvature,delta_C1_fscore_2x,0.5353670636138584,0.005818338404827957,0.381470024831521,0.059895189546462155,25
estimated_curvature,delta_C1_gt_to_pred,0.04484623070221362,0.8314376720321041,0.05307692307692308,0.801060182912034,25
estimated_curvature,delta_C2_chamfer,0.2663519943061963,0.19810231441156312,0.1753846153846154,0.40171841124929525,25
estimated_curvature,delta_C2_equal_cardinality_chamfer,0.2819556297968772,0.1720969535130642,0.22461538461538463,0.28038817091865614,25
estimated_curvature,delta_C2_fscore_2x,0.5353670636138584,0.005818338404827957,0.381470024831521,0.059895189546462155,25
estimated_curvature,delta_C2_gt_to_pred,0.04484623070221362,0.8314376720321041,0.05307692307692308,0.801060182912034,25
estimated_curvature,delta_C3_chamfer,0.15479041720475933,0.46002895085055584,0.12,0.5677601210384973,25
estimated_curvature,delta_C3_equal_cardinality_chamfer,0.19457119000118617,0.35133690566990855,0.0876923076923077,0.6768111447527602,25
estimated_curvature,delta_C3_fscore_2x,0.43424271557413535,0.030085132635323412,0.2779061639486421,0.17860385327088407,25
estimated_curvature,delta_C3_gt_to_pred,0.10890962008116771,0.6043081861692123,0.1723076923076923,0.41015675388856687,25
normal_confidence,delta_C1_chamfer,-0.26635176501690655,0.19810271519690514,-0.1753846153846154,0.40171841124929525,25
normal_confidence,delta_C1_equal_cardinality_chamfer,-0.30330519061837863,0.14051861657004588,-0.11538461538461539,0.5828498413809968,25
normal_confidence,delta_C1_fscore_2x,-0.5353665252756041,0.005818397157170165,-0.381470024831521,0.059895189546462155,25
normal_confidence,delta_C1_gt_to_pred,-0.044846515457897286,0.8314366167300277,-0.05307692307692308,0.801060182912034,25
normal_confidence,delta_C2_chamfer,-0.26635176501690655,0.19810271519690514,-0.1753846153846154,0.40171841124929525,25
normal_confidence,delta_C2_equal_cardinality_chamfer,-0.2819555450197964,0.17209708798087672,-0.22461538461538463,0.28038817091865614,25
normal_confidence,delta_C2_fscore_2x,-0.5353665252756041,0.005818397157170165,-0.381470024831521,0.059895189546462155,25
normal_confidence,delta_C2_gt_to_pred,-0.044846515457897286,0.8314366167300277,-0.05307692307692308,0.801060182912034,25
normal_confidence,delta_C3_chamfer,-0.15479031788255485,0.4600292422850283,-0.12,0.5677601210384973,25
normal_confidence,delta_C3_equal_cardinality_chamfer,-0.19457119204448925,0.3513369005125282,-0.0876923076923077,0.6768111447527602,25
normal_confidence,delta_C3_fscore_2x,-0.43424243817925007,0.03008524967644453,-0.2779061639486421,0.17860385327088407,25
normal_confidence,delta_C3_gt_to_pred,-0.10890982344222433,0.6043075070585119,-0.1723076923076923,0.41015675388856687,25
mean_normal_dispersion,delta_C1_chamfer,0.36424620500151594,0.07344381733132622,0.27615384615384614,0.18147181209216093,25
mean_normal_dispersion,delta_C1_equal_cardinality_chamfer,0.2911134031050162,0.15799626417092677,0.20153846153846153,0.33401212685217296,25
mean_normal_dispersion,delta_C1_fscore_2x,0.28732897257312323,0.1637207937130933,0.09034816377588656,0.6675640298436701,25
mean_normal_dispersion,delta_C1_gt_to_pred,0.34831515578280897,0.08794849559141998,0.27999999999999997,0.17521838241225215,25
mean_normal_dispersion,delta_C2_chamfer,0.36424620500151594,0.07344381733132622,0.27615384615384614,0.18147181209216093,25
mean_normal_dispersion,delta_C2_equal_cardinality_chamfer,0.33997980789281174,0.0963472094303532,0.33,0.10717356052084386,25
