method,group,descriptor,n,mean,median,std
C1,clearly_helps,number_of_local_gaussians,12,777.6666666666666,569.0,868.045921724319
C1,clearly_helps,local_median_spacing,12,0.010425543311188688,0.01042537908323115,5.651927883633881e-07
C1,clearly_helps,density_ratio,12,0.9999666944813366,1.0000139341586975,0.00016260348770424197
C1,clearly_helps,pca_eigenvalue_0,12,0.00019336374073949023,0.0001484818640165031,0.0001700408490154071
C1,clearly_helps,pca_eigenvalue_1,12,0.0004277224552424741,0.0003583777288440615,0.0003653166668699551
C1,clearly_helps,pca_eigenvalue_2,12,0.0009764265329674041,0.0006845139432698488,0.001054104398022017
C1,clearly_helps,estimated_curvature,12,0.12262193796535333,0.12236019596457481,0.024316374149089638
C1,clearly_helps,normal_confidence,12,0.8773780763149261,0.8776398599147797,0.024316369603279153
C1,clearly_helps,mean_normal_dispersion,12,48.465948899587,49.27211952209473,12.76560906962814
C1,clearly_helps,p95_normal_dispersion,12,82.34243710835774,86.28435516357422,7.71780932499662
C1,clearly_helps,semantic_entropy,12,1.426842838525772,1.4578628540039062,0.3266497436903025
C1,clearly_helps,semantic_purity,12,0.5426437770562468,0.4979166666666667,0.24747929123141785
C1,clearly_helps,number_of_semantic_ids,12,6.833333333333333,7.5,3.1578825535827364
C1,clearly_helps,graph_components_C0,12,1.0833333333333333,1.0,0.2763853991962833
C1,clearly_helps,graph_components_C1,12,9.0,10.0,4.377975178854566
C1,clearly_helps,graph_components_C3,12,59.5,40.5,63.808959663462105
C1,clearly_helps,largest_component_fraction,12,0.3971856318889257,0.3319444444444445,0.26047083233828144
C1,clearly_helps,boundary_support_count,12,274.5,204.5,187.25005562972026
C1,clearly_helps,estimated_missing_surface_area,12,0.040360306825225824,0.017658875670193024,0.04702714225096071
C1,neutral,number_of_local_gaussians,6,455.3333333333333,370.5,267.87040813713554
C1,neutral,local_median_spacing,6,0.010425775442006333,0.01042555751644855,5.535948664380156e-07
C1,neutral,density_ratio,6,0.9998999022104481,0.9999625896643916,0.00015926439616758588
C1,neutral,pca_eigenvalue_0,6,7.788213467089615e-05,5.4155945690581575e-05,5.3007999273869904e-05
C1,neutral,pca_eigenvalue_1,6,0.00021427947649499401,0.00016373154358007014,0.0001477791412744926
C1,neutral,pca_eigenvalue_2,6,0.00052039133637057,0.0003640253489720635,0.0004107336687653894
C1,neutral,estimated_curvature,6,0.1177092008292675,0.1253862977027893,0.03076254041726139
C1,neutral,normal_confidence,6,0.8822908202807108,0.8746137022972107,0.030762555049589857
C1,neutral,mean_normal_dispersion,6,44.09636720021566,46.55267143249512,13.507998293366281
C1,neutral,p95_normal_dispersion,6,79.01036326090495,84.64442443847656,14.579676950085542
C1,neutral,semantic_entropy,6,1.2374178568522136,1.3364338278770447,0.2226188606881435
C1,neutral,semantic_purity,6,0.5824384439959188,0.48763888888888896,0.22860331278993126
C1,neutral,number_of_semantic_ids,6,6.166666666666667,6.0,3.760171390892826
C1,neutral,graph_components_C0,6,1.0,1.0,0.0
C1,neutral,graph_components_C1,6,10.166666666666666,7.5,7.28964257620968
C1,neutral,graph_components_C3,6,85.66666666666667,65.5,78.51892906950668
C1,neutral,largest_component_fraction,6,0.4414953749736803,0.3554166666666667,0.24183281124775463
C1,neutral,boundary_support_count,6,339.8333333333333,222.0,273.5125936568349
C1,neutral,estimated_missing_surface_area,6,0.021331591663846277,0.01448596210303515,0.01855142483607204
C1,clearly_hurts,number_of_local_gaussians,7,308.42857142857144,323.0,123.593639622361
C1,clearly_hurts,local_median_spacing,7,0.010425900677855569,0.01042568125184018,6.590043090780844e-07
C1,clearly_hurts,density_ratio,7,0.999863877324176,0.9999269861407535,0.0001895833939755452
C1,clearly_hurts,pca_eigenvalue_0,7,0.00022642249989855503,6.544260395457968e-05,0.00029820084635479347
C1,clearly_hurts,pca_eigenvalue_1,7,0.0005374857054058728,0.00014841480879113078,0.000690194842803999
C1,clearly_hurts,pca_eigenvalue_2,7,0.0012885279055418713,0.00028087577084079385,0.0016300538257989206
C1,clearly_hurts,estimated_curvature,7,0.10141317040792533,0.10815586149692535,0.03185106789952742
C1,clearly_hurts,normal_confidence,7,0.8985868096351624,0.8918441534042358,0.03185105331887822
C1,clearly_hurts,mean_normal_dispersion,7,40.672635895865305,42.338809967041016,15.070522686633424
C1,clearly_hurts,p95_normal_dispersion,7,78.54468645368304,84.05613708496094,15.009565277773874
C1,clearly_hurts,semantic_entropy,7,1.5093618375914437,1.4720741510391235,0.3810120217500844
C1,clearly_hurts,semantic_purity,7,0.745955302075503,0.9627118644067797,0.28491954840602934
C1,clearly_hurts,number_of_semantic_ids,7,4.285714285714286,2.0,2.962348764761103
C1,clearly_hurts,graph_components_C0,7,1.0,1.0,0.0
C1,clearly_hurts,graph_components_C1,7,8.285714285714286,6.0,4.494895063586364
C1,clearly_hurts,graph_components_C3,7,29.285714285714285,20.0,26.745970514743156
C1,clearly_hurts,largest_component_fraction,7,0.5559274305215834,0.5070422535211268,0.28577722990887344
C1,clearly_hurts,boundary_support_count,7,186.57142857142858,228.0,94.27142748901348
C1,clearly_hurts,estimated_missing_surface_area,7,0.030928608532385004,0.00719668498193398,0.03881129997844974
C3,clearly_helps,number_of_local_gaussians,13,775.3846153846154,556.0,835.8232734129258
C3,clearly_helps,local_median_spacing,13,0.010425586916687721,0.010425394430184854,5.955654043430311e-07
C3,clearly_helps,density_ratio,13,0.9999541492586727,1.000009517868193,0.0001713381994757485
C3,clearly_helps,pca_eigenvalue_0,13,0.00015916719320767486,8.962795982370153e-05,0.00016307557147396707
C3,clearly_helps,pca_eigenvalue_1,13,0.0003658811919404588,0.00025482094497419894,0.0003639463428899451
C3,clearly_helps,pca_eigenvalue_2,13,0.0008430027474577611,0.0006273947074078023,0.0010476750793788965
C3,clearly_helps,estimated_curvature,13,0.12158841639757156,0.1256757229566574,0.020076230632900604
C3,clearly_helps,normal_confidence,13,0.8784115956379817,0.8743243217468262,0.020076229454124545
C3,clearly_helps,mean_normal_dispersion,13,48.76109152573805,49.4832763671875,12.509811361436144
C3,clearly_helps,p95_normal_dispersion,13,82.60903754601112,85.94458770751953,7.497695859588848
C3,clearly_helps,semantic_entropy,13,1.4411381024580736,1.400615930557251,0.3489636999473899
C3,clearly_helps,semantic_purity,13,0.5157251951818116,0.3958333333333333,0.23819972337495762
C3,clearly_helps,number_of_semantic_ids,13,7.230769230769231,8.0,2.9392266422373536
C3,clearly_helps,graph_components_C0,13,1.0769230769230769,1.0,0.26646935501059654
C3,clearly_helps,graph_components_C1,13,9.615384615384615,10.0,5.107136206983949
C3,clearly_helps,graph_components_C3,13,63.69230769230769,61.0,47.849740157456395
C3,clearly_helps,largest_component_fraction,13,0.3852250196639477,0.2638888888888889,0.24509329094357102
C3,clearly_helps,boundary_support_count,13,309.0769230769231,243.0,202.02264211962498
C3,clearly_helps,estimated_missing_surface_area,13,0.036870667168803654,0.017582862191937592,0.046560849824450155
C3,neutral,number_of_local_gaussians,1,310.0,310.0,0.0
