scene,roi,known_case,method,N_budget,N_spawn,N_GT_evaluation_only,pred_to_gt_mean,gt_to_pred_mean,symmetric_chamfer,equal_cardinality_count,equal_cardinality_pred_to_gt,equal_cardinality_gt_to_pred,equal_cardinality_chamfer,normal_angular_error,appearance_rmse,boundary_seam_error,precision_0p5,recall_0p5,fscore_0p5,precision_1p0,recall_1p0,fscore_1p0,precision_2p0,recall_2p0,fscore_2p0,runtime_s
ramen,roi_B_junction,True,C0,53,53,53,0.04073945664226624,0.08312762443568988,0.061933540538978066,53,0.04073945664226624,0.08312762443568988,0.061933540538978066,19.503082275390625,1.6780332340387918,1.680804441212129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1715404987335205
ramen,roi_B_junction,True,C1,53,53,53,0.045402941733106335,0.03962575059739719,0.042514346165251765,53,0.045402941733106335,0.03962575059739719,0.042514346165251765,29.71688461303711,1.6805650950995425,1.6827150749997157,0.0,0.0,0.0,0.0,0.0,0.0,0.018867924528301886,0.03773584905660377,0.02515723270395807,3.3431851863861084
ramen,roi_B_junction,True,C2,53,53,53,0.045402941733106335,0.03962575059739719,0.042514346165251765,53,0.045402941733106335,0.03962575059739719,0.042514346165251765,29.71688461303711,1.6807671305137357,1.68291685230725,0.0,0.0,0.0,0.0,0.0,0.0,0.018867924528301886,0.03773584905660377,0.02515723270395807,3.737470865249634
ramen,roi_B_junction,True,C3,53,53,53,0.0404981910796471,0.03748803476167607,0.038993112920661585,53,0.0404981910796471,0.03748803476167607,0.038993112920661585,26.552024841308594,1.6469345948624166,1.6488717615409982,0.0,0.0,0.0,0.0,0.0,0.0,0.1509433962264151,0.1509433962264151,0.1509433962259151,3.4446663856506348
ramen,roi_C_layered,True,C0,45,45,69,0.009989341235944485,0.01814833069541946,0.014068835965681972,45,0.011169851764547037,0.018346029828388274,0.014757940796467656,44.81156539916992,0.2297989383761093,0.13212392530381065,0.08888888888888889,0.057971014492753624,0.07017543859601338,0.6,0.4492753623188406,0.5138121546956429,0.9777777777777777,0.6086956521739131,0.7503045066986744,4.350435733795166
ramen,roi_C_layered,True,C1,45,45,69,0.052711970329797075,0.02292403699569601,0.03781800366274654,45,0.052746341289703756,0.02337975639616692,0.038063048842935335,51.48074722290039,0.40165690785518027,0.5773722891386361,0.0,0.0,0.0,0.022222222222222223,0.10144927536231885,0.03645833333303853,0.044444444444444446,0.4057971014492754,0.08011444921298372,3.9940755367279053
ramen,roi_C_layered,True,C2,45,45,69,0.052711970329797075,0.02292403699569601,0.03781800366274654,45,0.05396833601684092,0.021385046566661355,0.037676691291751135,51.48074722290039,0.38465335280555013,0.5711308716532986,0.0,0.0,0.0,0.022222222222222223,0.10144927536231885,0.03645833333303853,0.044444444444444446,0.4057971014492754,0.08011444921298372,3.8798539638519287
ramen,roi_C_layered,True,C3,45,45,69,0.05281710074569726,0.020475221879876455,0.036646161312786855,45,0.05281710074569726,0.021519537101749222,0.03716831892372324,49.38664245605469,0.41106537587161274,0.5436039881878734,0.0,0.0,0.0,0.044444444444444446,0.08695652173913043,0.058823529411317035,0.06666666666666667,0.4782608695652174,0.11702127659552994,3.94502592086792
ramen,roi_D_curved_v2,True,C0,47,47,160,0.025788129545580678,0.034602249733602965,0.03019518963959182,47,0.035421926312906735,0.03455844256456126,0.034990184438734,50.1574821472168,1.265022920680547,1.1887667680735328,0.02127659574468085,0.00625,0.009661835748441271,0.14893617021276595,0.05625,0.08165910563796884,0.425531914893617,0.20625,0.27783624500061266,3.877690315246582
ramen,roi_D_curved_v2,True,C1,47,47,160,0.035128399768726386,0.039924543899683966,0.037526471834205176,47,0.0432732210088379,0.03871327548573999,0.04099324824728895,61.657630920410156,1.2365255631092054,1.2643692071626844,0.02127659574468085,0.00625,0.009661835748441271,0.10638297872340426,0.0375,0.0554528650643096,0.3829787234042553,0.1875,0.2517482517478105,3.8190104961395264
