roi,policy,method,seed,N_budget,N_spawn,N_GT_evaluation_only,pred_to_gt,gt_to_pred,symmetric_chamfer,equal_cardinality_chamfer,normal_error,appearance_rmse,seam_error,runtime_s,fscore_0.5x,precision_0.5x,recall_0.5x,fscore_1.0x,precision_1.0x,recall_1.0x,fscore_2.0x,precision_2.0x,recall_2.0x,policy_name
roi_B_junction,hard,C0,0,53,53,53,0.04073945664226624,0.08312762443568988,0.061933540538978066,0.061933540538978066,19.503082275390625,1.6780332340387918,1.680804441212129,4.618702173233032,0.0,0.0,0.0,0.0,0.0,0.0,0.09533267130062784,0.3018867924528302,0.05660377358490566,GLOBAL-HARD
roi_B_junction,hard,C1,0,53,53,53,0.045402941733106335,0.03962575059739719,0.042514346165251765,0.042514346165251765,29.71688461303711,1.6805650950995425,1.6827150749997157,3.6984615325927734,0.0,0.0,0.0,0.02515723270395807,0.018867924528301886,0.03773584905660377,0.31103487707211336,0.3018867924528302,0.32075471698113206,GLOBAL-HARD
roi_B_junction,hard,C2,0,53,53,53,0.045402941733106335,0.03962575059739719,0.042514346165251765,0.042514346165251765,29.71688461303711,1.6807671305137357,1.68291685230725,3.4143357276916504,0.0,0.0,0.0,0.02515723270395807,0.018867924528301886,0.03773584905660377,0.31103487707211336,0.3018867924528302,0.32075471698113206,GLOBAL-HARD
roi_B_junction,hard,C3,0,53,53,53,0.0404981910796471,0.03748803476167607,0.038993112920661585,0.038993112920661585,26.552024841308594,1.6469345948624166,1.6488717615409982,3.3258070945739746,0.0,0.0,0.0,0.09433962264100942,0.09433962264150944,0.09433962264150944,0.517324185248215,0.5471698113207547,0.49056603773584906,GLOBAL-HARD
roi_C_layered,hard,C0,0,45,45,69,0.009989341235944485,0.01814833069541946,0.014068835965681972,0.014617178494682746,44.81156539916992,0.2297989383761093,0.13212392530381065,3.2873013019561768,0.0,0.0,0.0,0.04395604395554401,0.044444444444444446,0.043478260869565216,0.19512195121901965,0.2222222222222222,0.17391304347826086,GLOBAL-HARD
roi_C_layered,hard,C1,0,45,45,69,0.052711970329797075,0.02292403699569601,0.03781800366274654,0.03761799301860624,51.48074722290039,0.40165690785518027,0.5773722891386361,3.277466058731079,0.0,0.0,0.0,0.0,0.0,0.0,0.01754385964864497,0.022222222222222223,0.014492753623188406,GLOBAL-HARD
roi_C_layered,hard,C2,0,45,45,69,0.052711970329797075,0.02292403699569601,0.03781800366274654,0.03761799301860624,51.48074722290039,0.38465335280555013,0.5711308716532986,3.242185115814209,0.0,0.0,0.0,0.0,0.0,0.0,0.01754385964864497,0.022222222222222223,0.014492753623188406,GLOBAL-HARD
roi_C_layered,hard,C3,0,45,45,69,0.05281710074569726,0.020475221879876455,0.036646161312786855,0.036441777959402934,49.38664245605469,0.41106537587161274,0.5436039881878734,3.417072057723999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GLOBAL-HARD
roi_D_curved_v2,hard,C0,0,47,47,160,0.025788129545580678,0.034602249733602965,0.03019518963959182,0.0347549123782227,50.1574821472168,1.265022920680547,1.1887667680735328,3.3220932483673096,0.04571428571389283,0.0851063829787234,0.03125,0.15994531783964364,0.2765957446808511,0.1125,0.528040176969512,0.6808510638297872,0.43125,GLOBAL-HARD
roi_D_curved_v2,hard,C1,0,47,47,160,0.035128399768726386,0.039924543899683966,0.037526471834205176,0.041182977447724284,61.657630920410156,1.2365255631092054,1.2643692071626844,3.268310546875,0.01932367149723354,0.0425531914893617,0.0125,0.11409068746910876,0.19148936170212766,0.08125,0.4267105854164982,0.5319148936170213,0.35625,GLOBAL-HARD
roi_D_curved_v2,hard,C2,0,47,47,160,0.035128399768726386,0.039924543899683966,0.037526471834205176,0.041182977447724284,61.657630920410156,1.2485141757010982,1.2763124857830968,3.2769954204559326,0.01932367149723354,0.0425531914893617,0.0125,0.11409068746910876,0.19148936170212766,0.08125,0.4267105854164982,0.5319148936170213,0.35625,GLOBAL-HARD
roi_D_curved_v2,hard,C3,0,47,47,160,0.035128399768726386,0.039924543899683966,0.037526471834205176,0.041182977447724284,61.657630920410156,1.2485141757010982,1.2763124857830968,3.201010227203369,0.01932367149723354,0.0425531914893617,0.0125,0.11409068746910876,0.19148936170212766,0.08125,0.4267105854164982,0.5319148936170213,0.35625,GLOBAL-HARD
ramen_sample_001,hard,C0,0,57,57,56,0.012025198033970319,0.021479695178982607,0.016752446606476463,0.016737499014232087,54.8961067199707,0.4396227895999534,0.2828709458919538,3.22164249420166,0.0,0.0,0.0,0.060273972602476175,0.19298245614035087,0.03571428571428571,0.5213270142176152,0.9649122807017544,0.35714285714285715,GLOBAL-HARD
ramen_sample_001,hard,C1,0,57,57,56,0.014955763237735323,0.021529867018514542,0.018242815128124933,0.01828128598832856,48.02137756347656,0.5849389623913096,0.3571127378322754,3.2594287395477295,0.0,0.0,0.0,0.04255319148888003,0.05263157894736842,0.03571428571428571,0.5284595300256691,0.8070175438596491,0.39285714285714285,GLOBAL-HARD
ramen_sample_001,hard,C2,0,57,57,56,0.014955763237735323,0.021529867018514542,0.018242815128124933,0.01828128598832856,48.02137756347656,0.5958335068267745,0.4569094120878594,3.2452468872070312,0.0,0.0,0.0,0.04255319148888003,0.05263157894736842,0.03571428571428571,0.5284595300256691,0.8070175438596491,0.39285714285714285,GLOBAL-HARD
ramen_sample_001,hard,C3,0,57,57,56,0.016899905413756397,0.011718596726336992,0.014309251070046694,0.014419451702390833,45.36497497558594,0.854984422006971,0.8630896734580934,3.370311975479126,0.053097345132243394,0.05263157894736842,0.05357142857142857,0.35294117647009,0.3333333333333333,0.375,0.7092045699499323,0.6140350877192983,0.8392857142857143,GLOBAL-HARD
ramen_sample_002,hard,C0,0,67,67,206,0.0036906527688618414,0.007797117480302233,0.005743885124582037,0.006180701899077653,52.0365104675293,0.7746261360548495,0.3678264972769535,5.597626447677612,0.06593406593369555,0.13432835820895522,0.043689320388349516,0.3351955307258531,0.5970149253731343,0.23300970873786409,0.7590361445778422,1.0,0.6116504854368932,GLOBAL-HARD
ramen_sample_002,hard,C1,0,67,67,206,0.00806129645707002,0.006686381671682735,0.007373839064376378,0.007996827822922516,54.89713668823242,0.7073050570871828,0.5086244446898319,3.4154367446899414,0.05662285136462006,0.1044776119402985,0.038834951456310676,0.37364763831426184,0.5373134328358209,0.28640776699029125,0.743095261168221,0.8059701492537313,0.6893203883495146,GLOBAL-HARD
ramen_sample_002,hard,C2,0,67,67,206,0.00806129645707002,0.006686381671682735,0.007373839064376378,0.007996827822922516,54.89713668823242,0.6951262791334496,0.615230445685675,3.4175045490264893,0.05662285136462006,0.1044776119402985,0.038834951456310676,0.37364763831426184,0.5373134328358209,0.28640776699029125,0.743095261168221,0.8059701492537313,0.6893203883495146,GLOBAL-HARD
ramen_sample_002,hard,C3,0,67,67,206,0.011370011470625097,0.006762116456046892,0.009066063963335995,0.010456711982320784,51.26350784301758,0.7400392362401091,0.7893337140029151,5.315866708755493,0.046697798531924926,0.07462686567164178,0.03398058252427184,0.24678885842063703,0.2835820895522388,0.21844660194174756,0.5419100754835917,0.47761194029850745,0.6262135922330098,GLOBAL-HARD
ramen_sample_003,hard,C0,0,90,90,56,0.026862610358447996,0.0702127976133414,0.0485377039858947,0.04879789462491538,32.14541244506836,0.8888567324532387,0.866902901397451,3.619983434677124,0.013698630136513417,0.011111111111111112,0.017857142857142856,0.07815631262485578,0.14444444444444443,0.05357142857142857,0.20754716981103882,0.6111111111111112,0.125,GLOBAL-HARD
ramen_sample_003,hard,C1,0,90,90,56,0.026452911116455195,0.04295834841169526,0.03470562976407523,0.036330546329794204,28.815654754638672,0.6815147600629643,0.7021155164813855,3.3717448711395264,0.039603960395545534,0.044444444444444446,0.03571428571428571,0.10695187165727359,0.13333333333333333,0.08928571428571429,0.49129447388295294,0.6555555555555556,0.39285714285714285,GLOBAL-HARD
ramen_sample_003,hard,C2,0,90,90,56,0.026452911116455195,0.04295834841169526,0.03470562976407523,0.036330546329794204,28.815654754638672,0.7154877177672992,0.8181139408156836,3.716026544570923,0.039603960395545534,0.044444444444444446,0.03571428571428571,0.10695187165727359,0.13333333333333333,0.08928571428571429,0.49129447388295294,0.6555555555555556,0.39285714285714285,GLOBAL-HARD
ramen_sample_003,hard,C3,0,90,90,56,0.03557132899461704,0.027668860421290433,0.03162009470795374,0.03296205282410118,30.46733856201172,0.9240827318599388,0.9073084437366742,3.617310047149658,0.013698630136513417,0.011111111111111112,0.017857142857142856,0.201355275894959,0.17777777777777778,0.23214285714285715,0.583055370246341,0.5111111111111111,0.6785714285714286,GLOBAL-HARD
ramen_sample_004,hard,C0,0,26,26,56,0.01880372489418108,0.029328973602727442,0.02406634924845426,0.025288285953540535,59.22617721557617,0.42088627394765304,0.11199342029698818,3.5147695541381836,0.02439024390200595,0.038461538461538464,0.017857142857142856,0.3658536585361523,0.5769230769230769,0.26785714285714285,0.8426966292129907,0.9615384615384616,0.75,GLOBAL-HARD
ramen_sample_004,hard,C1,0,26,26,56,0.022093599586189554,0.020447894711548804,0.02127074714886918,0.022263883094007585,58.99232482910156,0.9788218528172216,0.8260427827660851,3.3894848823547363,0.02439024390200595,0.038461538461538464,0.017857142857142856,0.40268456375789746,0.46153846153846156,0.35714285714285715,0.9308314937449023,0.8846153846153846,0.9821428571428571,GLOBAL-HARD
ramen_sample_004,hard,C2,0,26,26,56,0.022093599586189554,0.020447894711548804,0.02127074714886918,0.022263883094007585,58.99232482910156,0.9888726653989016,0.8907829778946351,3.5097081661224365,0.02439024390200595,0.038461538461538464,0.017857142857142856,0.40268456375789746,0.46153846153846156,0.35714285714285715,0.9308314937449023,0.8846153846153846,0.9821428571428571,GLOBAL-HARD
ramen_sample_004,hard,C3,0,26,26,56,0.04088943153026189,0.0315469357450178,0.036218183637639845,0.03757399012928021,64.51194763183594,1.0989721356877584,0.8784967804679695,3.4550957679748535,0.02439024390200595,0.038461538461538464,0.017857142857142856,0.12631578947320024,0.15384615384615385,0.10714285714285714,0.5860465116274108,0.5384615384615384,0.6428571428571429,GLOBAL-HARD
ramen_sample_005,hard,C0,0,88,88,56,0.03162603951290127,0.039234057658022174,0.035430048585461726,0.0367281367863318,48.30207824707031,0.8337368136924634,0.7367525056519457,3.6238231658935547,0.0,0.0,0.0,0.03488372092973282,0.03409090909090909,0.03571428571428571,0.2884615384610503,0.3409090909090909,0.25,GLOBAL-HARD
ramen_sample_005,hard,C1,0,88,88,56,0.03499383972724206,0.03330630987428408,0.03415007480076307,0.035829076241995245,49.924415588378906,0.8193170923218623,0.8846634314345421,3.4120051860809326,0.01388888888841358,0.011363636363636364,0.017857142857142856,0.02777777777730247,0.022727272727272728,0.03571428571428571,0.3510392609694775,0.36363636363636365,0.3392857142857143,GLOBAL-HARD
ramen_sample_005,hard,C2,0,88,88,56,0.03499383972724206,0.03330630987428408,0.03415007480076307,0.035829076241995245,49.924415588378906,0.8472185773219368,0.9088877917977253,3.541074275970459,0.01388888888841358,0.011363636363636364,0.017857142857142856,0.02777777777730247,0.022727272727272728,0.03571428571428571,0.3510392609694775,0.36363636363636365,0.3392857142857143,GLOBAL-HARD
ramen_sample_005,hard,C3,0,88,88,56,0.05630126452054627,0.03941083540185386,0.04785604996120006,0.04979689361450948,59.81292724609375,0.7870461879298303,0.9473717571989766,3.5753862857818604,0.0,0.0,0.0,0.01388888888841358,0.011363636363636364,0.017857142857142856,0.19042968749954176,0.14772727272727273,0.26785714285714285,GLOBAL-HARD
ramen_sample_006,hard,C0,0,83,83,56,0.018154599311059807,0.039470541723366386,0.028812570517213094,0.02945854079950467,25.377426147460938,0.36885505474586283,0.3020249349481183,3.336780309677124,0.08205128205079311,0.0963855421686747,0.07142857142857142,0.1759259259254527,0.2289156626506024,0.14285714285714285,0.5454545454541487,1.0,0.375,GLOBAL-HARD
ramen_sample_006,hard,C1,0,83,83,56,0.018343988334247576,0.02911823583572152,0.023731112084984546,0.0294282172428334,23.49494171142578,0.3370951395640105,0.32514222338531035,3.3209574222564697,0.08674101610854625,0.08433734939759036,0.08928571428571429,0.20512820512771618,0.24096385542168675,0.17857142857142858,0.6639676113355861,0.9879518072289156,0.5,GLOBAL-HARD
ramen_sample_006,hard,C2,0,83,83,56,0.018343988334247576,0.02911823583572152,0.023731112084984546,0.0294282172428334,23.49494171142578,0.1921270257985774,0.4948373125557048,3.3717596530914307,0.08674101610854625,0.08433734939759036,0.08928571428571429,0.20512820512771618,0.24096385542168675,0.17857142857142858,0.6639676113355861,0.9879518072289156,0.5,GLOBAL-HARD
ramen_sample_006,hard,C3,0,83,83,56,0.030138157893302236,0.019848145767400637,0.02499315183035144,0.027177160719536828,47.4532585144043,0.8140723262415591,0.7471044845873163,3.3316917419433594,0.07194244604268434,0.060240963855421686,0.08928571428571429,0.22656597067923012,0.18072289156626506,0.30357142857142855,0.6931527464253993,0.5903614457831325,0.8392857142857143,GLOBAL-HARD
ramen_sample_007,hard,C0,0,92,92,56,0.06524431048853668,0.061272711330217944,0.06325851090937731,0.06397186775073951,52.18217849731445,0.31069852171224277,0.1992076254547099,3.5276761054992676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GLOBAL-HARD
ramen_sample_007,hard,C1,0,92,92,56,0.06974949850260859,0.054843601263642995,0.06229654988312579,0.06512476438646961,25.761808395385742,0.42923985937721887,0.4093974466666011,3.3618221282958984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GLOBAL-HARD
ramen_sample_007,hard,C2,0,92,92,56,0.06974949850260859,0.054843601263642995,0.06229654988312579,0.06512476438646961,25.761808395385742,0.4341133326366447,0.4175446308212987,3.548927068710327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GLOBAL-HARD
ramen_sample_007,hard,C3,0,92,92,56,0.068054905541563,0.054425338426512884,0.06124012198403794,0.06085997297138522,25.927471160888672,0.42022040875681743,0.41726564542577277,3.3199920654296875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,GLOBAL-HARD
ramen_sample_008,hard,C0,0,53,53,56,0.034297693570832934,0.08360692100817568,0.058952307289504305,0.05949464520078143,65.14984893798828,1.244752795766919,0.9468283183840264,3.1987557411193848,0.09271523178762388,0.1320754716981132,0.07142857142857142,0.1746216530846809,0.4716981132075472,0.10714285714285714,0.43652561247179966,0.9245283018867925,0.2857142857142857,GLOBAL-HARD
ramen_sample_008,hard,C1,0,53,53,56,0.09666180357090005,0.07206752995962411,0.08436466676526208,0.08407061079369509,56.868446350097656,1.3501710000643137,0.9837364495444065,3.2382633686065674,0.018348623852711386,0.018867924528301886,0.017857142857142856,0.036697247705922385,0.03773584905660377,0.03571428571428571,0.2757493188006439,0.20754716981132076,0.4107142857142857,GLOBAL-HARD
ramen_sample_008,hard,C2,0,53,53,56,0.09666180357090005,0.07206752995962411,0.08436466676526208,0.08407061079369509,56.868446350097656,1.3544928001841345,1.0251556299188074,3.379239559173584,0.018348623852711386,0.018867924528301886,0.017857142857142856,0.036697247705922385,0.03773584905660377,0.03571428571428571,0.2757493188006439,0.20754716981132076,0.4107142857142857,GLOBAL-HARD
ramen_sample_008,hard,C3,0,53,53,56,0.06534025622791574,0.0605300109722164,0.06293513360006607,0.06294664305517009,59.91910171508789,1.3897240608470438,1.2446059459759065,3.6022372245788574,0.036697247705922385,0.03773584905660377,0.03571428571428571,0.2103585657365543,0.22641509433962265,0.19642857142857142,0.5677114133643746,0.6037735849056604,0.5357142857142857,GLOBAL-HARD
ramen_sample_009,hard,C0,0,77,77,56,0.03166277006183881,0.09004939874618934,0.06085608440401408,0.061097430125096656,62.65262985229492,0.5251263014708676,0.13247513319080106,3.4452896118164062,0.0,0.0,0.0,0.030981067125415505,0.11688311688311688,0.017857142857142856,0.3986710963451342,0.7792207792207793,0.26785714285714285,GLOBAL-HARD
ramen_sample_009,hard,C1,0,77,77,56,0.033979682064360986,0.05745792705341373,0.045718804558887355,0.046649004802006025,63.03310012817383,0.43743495868782456,0.30172310259482876,3.430020570755005,0.024489795917936326,0.03896103896103896,0.017857142857142856,0.08133472367012438,0.16883116883116883,0.05357142857142857,0.5133033155951261,0.7402597402597403,0.39285714285714285,GLOBAL-HARD
ramen_sample_009,hard,C2,0,77,77,56,0.033979682064360986,0.05745792705341373,0.045718804558887355,0.046649004802006025,63.03310012817383,0.43740993864348665,0.30148689746155305,3.6282074451446533,0.024489795917936326,0.03896103896103896,0.017857142857142856,0.08133472367012438,0.16883116883116883,0.05357142857142857,0.5133033155951261,0.7402597402597403,0.39285714285714285,GLOBAL-HARD
ramen_sample_009,hard,C3,0,77,77,56,0.05168890734185301,0.04642409774787264,0.04905650254486282,0.049407546250481424,60.750030517578125,0.75269427791873,0.6652095804702054,3.356682062149048,0.0,0.0,0.0,0.10084033613399704,0.07792207792207792,0.14285714285714285,0.41458733205325266,0.36363636363636365,0.48214285714285715,GLOBAL-HARD
ramen_sample_010,hard,C0,0,112,112,128,0.006151287115813929,0.02099195434159637,0.01357162072870515,0.01401360661819969,58.52772903442383,0.60449055710271,0.4177703108742093,3.3625106811523438,0.05128205128175674,0.14285714285714285,0.03125,0.1944894651536884,0.5714285714285714,0.1171875,0.483076263924222,0.9821428571428571,0.3203125,GLOBAL-HARD
ramen_sample_010,hard,C1,0,112,112,128,0.006864835914662025,0.01736425244391652,0.012114544179289272,0.012721034405667003,57.67716598510742,0.6279958833445354,0.4577224022770229,3.4184374809265137,0.06350267379648718,0.16964285714285715,0.0390625,0.24621212121178696,0.5803571428571429,0.15625,0.5684818481843982,0.9464285714285714,0.40625,GLOBAL-HARD
ramen_sample_010,hard,C2,0,112,112,128,0.006864835914662025,0.01736425244391652,0.012114544179289272,0.012721034405667003,57.67716598510742,0.5613302884979651,0.41923894908412035,3.804337739944458,0.06350267379648718,0.16964285714285715,0.0390625,0.24621212121178696,0.5803571428571429,0.15625,0.5684818481843982,0.9464285714285714,0.40625,GLOBAL-HARD
ramen_sample_010,hard,C3,0,112,112,128,0.019170934211059996,0.013204333027757073,0.016187633619408535,0.01658523918140615,59.16713333129883,1.2310187588506403,1.0364033774648713,3.7482411861419678,0.036764705881868504,0.044642857142857144,0.03125,0.09166666666616889,0.09821428571428571,0.0859375,0.44891304347776123,0.4375,0.4609375,GLOBAL-HARD
ramen_sample_011,hard,C0,0,123,123,101,0.009619909423307425,0.016638691020610625,0.013129300221959024,0.013140930256064894,55.51252746582031,1.3900958258143663,0.6872248682898621,3.6749231815338135,0.031047865458750705,0.032520325203252036,0.0297029702970297,0.15625652809652368,0.2764227642276423,0.10891089108910891,0.4844798657713912,0.8048780487804879,0.3465346534653465,GLOBAL-HARD
ramen_sample_011,hard,C1,0,123,123,101,0.010215945282325296,0.015502616551652174,0.012859280916988736,0.012933942648552573,54.13164138793945,1.3425605566473797,0.7186722218151049,3.4817025661468506,0.017857142856647683,0.016260162601626018,0.019801980198019802,0.13646702046962464,0.21951219512195122,0.09900990099009901,0.548367952521806,0.8048780487804879,0.4158415841584158,GLOBAL-HARD
