policy,method,mean_gt_to_pred,mean_pred_to_gt,mean_seam
hard,C0,0.043310704698729746,0.026786301103984406,0.49702766668773146
hard,C1,0.03378186996654346,0.03311838129705134,0.6461355582659142
hard,C3,0.028348473345479172,0.0381163482901772,0.9035527126680103
soft,C0,0.043310704698729746,0.026786301103984406,0.49702766668773146
soft,C1,0.04330487541216642,0.026789695175554646,0.4795249959999098
soft,C3,0.03052332846832681,0.03403311693675723,0.793647293869487
adaptive,C0,0.043310704698729746,0.026786301103984406,0.49702766668773146
adaptive,C1,0.04388509594119068,0.02723888812383005,0.48281637612430556
adaptive,C3,0.030994796285026768,0.03500552155092246,0.7937739908498677
