policy,comparison,n,mean_diff_chamfer,median_diff_chamfer,bootstrap_95ci_lo,bootstrap_95ci_hi,wilcoxon_p,mean_diff_gt_to_pred
hard,C0_vs_C1,25,0.0015983772695596773,0.000961961026251526,-0.013205137151169388,0.01714122058207546,0.20870191067235688,0.009528834732186287
hard,C0_vs_C3,25,0.0018160920835288933,0.00232276289703887,-0.011975187193766102,0.016993525403388447,0.5601714849472046,0.01496223135325058
soft,C0_vs_C1,25,1.2176074965446205e-06,0.0,-0.015852955247431643,0.016405190191731693,0.31731050786291415,5.82928656332797e-06
soft,C0_vs_C3,25,0.002770280198815061,0.0011603270909922598,-0.011682379638522502,0.018218670448841928,0.06746383613161147,0.012787376230402943
adaptive,C0_vs_C1,25,-0.0005134891311532852,0.0,-0.016517498088378473,0.01608354179111443,0.31731050786291415,-0.0005743912424609304
adaptive,C0_vs_C3,25,0.0020483439833824703,0.0011199375639284297,-0.012256620781617551,0.017693540964538765,0.21923253328133308,0.012315908413702987
