policy,method,mean_relative_chamfer,median_relative_chamfer,mean_gt_to_pred_improvement,mean_pred_to_gt_change,mean_f2x_change,mean_seam_change,helps,neutral,hurts
hard,C1,-0.03141818946373081,0.036126786041831116,0.009528834732186287,0.006332080193066931,0.04224580841881775,0.1491078915781828,12,6,7
hard,C2,-0.03141818946373081,0.036126786041831116,0.009528834732186287,0.006332080193066931,0.04224580841881775,0.2753112678364005,12,6,7
hard,C3,-0.07218153547495723,0.0827610328194168,0.01496223135325058,0.011330047186192793,0.046838441213217445,0.4065250459802789,13,1,11
soft,C1,0.00012472506763361633,0.0,5.82928656332797e-06,3.3940715702386602e-06,-8.064516929000565e-05,-0.01750267068782158,0,25,0
soft,C2,0.00012472506763361633,0.0,5.82928656332797e-06,3.3940715702386602e-06,-8.064516929000565e-05,0.13562182512720486,0,25,0
soft,C3,0.04335008148247353,0.07932083137038214,0.012787376230402943,0.007246815832772818,0.0680442896732124,0.29661962718175544,14,5,6
adaptive,C1,-0.008117312971354922,0.0,-0.0005743912424609304,0.00045258701984564,0.0,-0.014211290563425802,0,24,1
adaptive,C2,-0.008117312971354922,0.0,-0.0005743912424609304,0.00045258701984564,0.0,0.1261567375166701,0,24,1
adaptive,C3,0.026060898249021077,0.05549209912146509,0.012315908413702987,0.008219220446938045,0.06682567305652558,0.2967463241621362,13,6,6
